record_kind,control_tick,physics_substep,time_s,qpos0,qpos1,qpos2,qpos3,qpos4,qpos5,qpos6,qpos7,qpos8,qpos9,qpos10,qpos11,qpos12,qpos13,qpos14,qpos15,qpos16,qvel0,qvel1,qvel2,qvel3,qvel4,qvel5,qvel6,qvel7,qvel8,qvel9,qvel10,qvel11,qvel12,qvel13,qvel14,qvel15,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,qacc0,qacc1,qacc2,qacc3,qacc4,qacc5,qacc6,qacc7,qacc8,qacc9,qacc10,qacc11,qacc12,qacc13,qacc14,qacc15
stepped,66,1,0.66400000000000048,-0.00046490506813585096,-4.8763824026734069e-05,0.34799269346397371,0.9999822327640252,-0.0013886376233789805,-0.00096310530293451093,-0.0057164910566871443,-0.40106837350196006,0.57366414089686213,0.31566541742789944,-0.57703162281452458,-0.57744132005449134,-0.30508124024367078,0.57171761576043123,-0.28239405729783035,0.5747034709011476,-0.57516634772731146,-0.0052750901032663448,0.0025167123107714337,0.0024508925963621139,-0.0082044375952237281,-0.022859342287999559,-0.0043326499231633739,-0.16071109367829362,0.020737015740307757,1.0037460945403021,-0.021303071866063918,-0.021198069600307023,0.091054858245206496,0.0033683554957686089,-0.54261992017089089,0.0030460270306719188,-0.0030590738735670506,-0.2825963896180031,2.9234445949877141,-1.9745635630145391e-06,0.28965717939940794,3.4500214987270619,-2.1255861736638982e-06,-0.061820159357988035,0.013831413960364761,0.042536696113852759,-0.030119147011609195,-0.47666078656888083,0.020415571815931663,-0.19062126628401482,0.15218287290657956,2.7856997744682088,-0.1529049046752215,-0.15230072078275644,0.0080917918089452832,-0.081557141424713792,2.3222932000836334,-0.079228516827854326,0.079736212411150947
stepped,66,2,0.66600000000000048,-0.00047570252895044529,-4.3675073753464691e-05,0.34799776539592669,0.99998217349226104,-0.0013970341433683104,-0.0009868762581380613,-0.0057207576899182665,-0.40139055817342606,0.57370622366046065,0.31768405240829534,-0.57707484057669389,-0.57748432539268746,-0.30489909815980559,0.57172402624356577,-0.2834700079693725,0.57470924604018025,-0.57517214692835827,-0.005398730407297176,0.0025443751366346881,0.0025359659764962661,-0.0082646758785406369,-0.023812663770921432,-0.004291818761630593,-0.16109233573300233,0.021041381799273177,1.0093174901979423,-0.02160888108467891,-0.021502669098045407,0.09107104193258711,0.0032052415672501403,-0.53797533577106338,0.0028875695163281209,-0.0028996005234273202,-0.2825963896180031,2.9234445949877141,-1.9745635630145391e-06,0.28965717939940794,3.4500214987270619,-2.1255861736638982e-06,-0.063016652902970011,0.010685099477231823,0.04278583953481014,-0.027978553162315269,-0.4786034381873045,-0.0069034141425007682,-0.23735082156462634,0.15159152491694691,2.9668368240278067,-0.15042721938548428,-0.14944527334848776,0.030422935339250529,-0.07375882487273068,2.2516081382950648,-0.069235313927428641,0.069450554673505471
stepped,66,3,0.66800000000000048,-0.00048675205634602763,-3.854358308436407e-05,0.34800300847121279,0.9999821124411622,-0.0014054920808317043,-0.0010116041015641251,-0.0057250368437986796,-0.40171369224714548,0.5737489127908505,0.31971455472767746,-0.57711866004646384,-0.57752792850780266,-0.30471683438401581,0.5717301416920717,-0.28453695221221886,0.57471474423703739,-0.57517766832541284,-0.0055247636977911758,0.0025657453345503114,0.0026215376430541275,-0.0083206329742830151,-0.024769870554455571,-0.0043056255609717391,-0.16156703685969928,0.021344565194938152,1.0152511596910687,-0.021909734884971343,-0.021801557557592909,0.091131887894891628,0.0030577242529461015,-0.533472121423198,0.0027490984285847438,-0.0027606985272765651,-0.2825963896180031,2.9234445949877141,-1.9745635630145391e-06,0.28965717939940794,3.4500214987270619,-2.1255861736638982e-06,-0.064235314252635151,0.0076360865413256165,0.043034972395764044,-0.025813906297924745,-0.48055810443969565,-0.033073758794626026,-0.28358065444229524,0.15109344231870486,3.1491612515821954,-0.14860787335133585,-0.14731486340917394,0.051823296939488318,-0.06611488492647602,2.182081865251313,-0.060021950900071605,0.059999105986532575
stepped,66,4,0.67000000000000048,-0.00049805852496670152,-3.3381548069174149e-05,0.34800842368636259,0.99998204924024403,-0.0014140070796629688,-0.0010372928405751713,-0.0057293808412013933,-0.40203796064237163,0.57379220629576755,0.32175765368321696,-0.5771630739463538,-0.57757212087790422,-0.30453436331487849,0.57173599268167197,-0.28559516813132158,0.5747200023452107,-0.57518294972434436,-0.0056532343103369489,0.0025810175075949601,0.0027076075749070984,-0.0083722607764409058,-0.025730986667831052,-0.0043717730388411662,-0.16213419761307005,0.021646752458546879,1.0215494777697409,-0.022206949944968891,-0.022096185050802436,0.091235534568659155,0.0029254948001061526,-0.52910795955136281,0.0026290540866567066,-0.0026406994657701939,-0.2825963896180031,2.9234445949877141,-1.9745635630145391e-06,0.28965717939940794,3.4500214987270619,-2.1255861736638982e-06,-0.065476741084785461,0.0046799963337772555,0.043284252911016535,-0.023629267332454126,-0.4825260983868605,-0.058153174303053452,-0.32937263657488663,0.15069801413313411,3.3327415504484468,-0.1473541667602202,-0.14580574334797908,0.072334686707448498,-0.058615023945363116,2.1136886225833855,-0.05146512527175183,0.051249979929431873
pre_command,67,-1,0.67000000000000048,-0.00049805852496670152,-3.3381548069174149e-05,0.34800842368636259,0.99998204924024403,-0.0014140070796629688,-0.0010372928405751713,-0.0057293808412013933,-0.40203796064237163,0.57379220629576755,0.32175765368321696,-0.5771630739463538,-0.57757212087790422,-0.30453436331487849,0.57173599268167197,-0.28559516813132158,0.5747200023452107,-0.57518294972434436,-0.0056532343103369489,0.0025810175075949601,0.0027076075749070984,-0.0083722607764409058,-0.025730986667831052,-0.0043717730388411662,-0.16213419761307005,0.021646752458546879,1.0215494777697409,-0.022206949944968891,-0.022096185050802436,0.091235534568659155,0.0029254948001061526,-0.52910795955136281,0.0026290540866567066,-0.0026406994657701939,-0.2825963896180031,2.9234445949877141,-1.9745635630145391e-06,0.28965717939940794,3.4500214987270619,-2.1255861736638982e-06,-0.065476741084785461,0.0046799963337772555,0.043284252911016535,-0.023629267332454126,-0.4825260983868605,-0.058153174303053452,-0.32937263657488663,0.15069801413313411,3.3327415504484468,-0.1473541667602202,-0.14580574334797908,0.072334686707448498,-0.058615023945363116,2.1136886225833855,-0.05146512527175183,0.051249979929431873
post_command,67,-1,0.67000000000000048,-0.00049805852496670152,-3.3381548069174149e-05,0.34800842368636259,0.99998204924024403,-0.0014140070796629688,-0.0010372928405751713,-0.0057293808412013933,-0.40203796064237163,0.57379220629576755,0.32175765368321696,-0.5771630739463538,-0.57757212087790422,-0.30453436331487849,0.57173599268167197,-0.28559516813132158,0.5747200023452107,-0.57518294972434436,-0.0056532343103369489,0.0025810175075949601,0.0027076075749070984,-0.0083722607764409058,-0.025730986667831052,-0.0043717730388411662,-0.16213419761307005,0.021646752458546879,1.0215494777697409,-0.022206949944968891,-0.022096185050802436,0.091235534568659155,0.0029254948001061526,-0.52910795955136281,0.0026290540866567066,-0.0026406994657701939,-0.28998406019492357,2.9185185348042788,-2.1405988688042226e-06,0.29750570035681095,3.454918387216324,-2.2948588603789448e-06,-0.066135754991527157,0.016225743474590437,0.046693819466756395,-0.022307982888911462,-0.52605139206174412,0.07730426441353043,-0.095360150148632639,0.14601515015633476,2.6972393978997302,-0.15288893017653771,-0.15322558761727212,-0.050661032240910474,-0.086989313499900189,2.7365612759498807,-0.091346698702909512,0.092698352164352446
stepped,67,0,0.67200000000000049,-0.00050962953657561743,-2.8154610086182167e-05,0.34801402567676337,0.99998198499209856,-0.0014225728808206683,-0.001064033188333211,-0.0057335687869892234,-0.40236261047730421,0.5738360838618719,0.32381154158868136,-0.57720809940081308,-0.57761692614654569,-0.30435209488960596,0.57174149571485,-0.28664243780996174,0.57472489506548519,-0.57518786032774805,-0.0057855058044579827,0.0026134689914959902,0.0028009952003959274,-0.0084168767335744462,-0.026783089348269572,-0.0042171645105091469,-0.16232491746629613,0.021938783052153972,1.0269439527322024,-0.022512727229659236,-0.022402634320745039,0.091134212636255818,0.0027515165889951581,-0.52363483932006927,0.0024463601372417074,-0.0024553017018240286,-0.28998406019492357,2.9185185348042788,-2.1405988688042226e-06,0.29750570035681095,3.454918387216324,-2.2948588603789448e-06,-0.067407777406536529,0.01289134551849232,0.046948635873176658,-0.020284998791813585,-0.52803261229281029,0.047512152435858115,-0.14477395354760828,0.14570928589373888,2.8821992110946635,-0.14919998437151363,-0.14897989945035026,-0.02735370806552501,-0.079091750129490129,2.669368097667344,-0.079581514861982561,0.080500077699499559
stepped,67,1,0.67400000000000049,-0.00052147017926104427,-2.2876106724995194e-05,0.34801981546167982,0.9999819192726439,-0.0014311854061799481,-0.0010918292135056133,-0.0057376602462244674,-0.4026878394070767,0.57388054426577351,0.32587695828278285,-0.57725372165395994,-0.57766232733067935,-0.30416993587892782,0.57174668238182058,-0.28767903002070938,0.57472946945863945,-0.57519244892879939,-0.0059203213427134246,0.0026392516805934865,0.0028948924582325904,-0.0084574467225826816,-0.027839154466102772,-0.0041221401939688963,-0.16261446488624981,0.022230201950800214,1.0327083470507374,-0.022811126573434138,-0.02270059206683946,0.091079505339078118,0.0025933334852969846,-0.5182961053738353,0.0022871965771314785,-0.0022943005256864228,-0.28998406019492357,2.9185185348042788,-2.1405988688042226e-06,0.29750570035681095,3.454918387216324,-2.2948588603789448e-06,-0.068703238886503648,0.0096669228021041709,0.047203066076481184,-0.018233111888059039,-0.53002424174337903,0.019006763480576196,-0.19357642971081174,0.14548522199429803,3.0683545883772552,-0.1464191012840205,-0.14573791030154515,-0.0050920650509251562,-0.071387194879510757,2.6034951486940838,-0.068926033421032193,0.069487912091834816
stepped,67,2,0.67600000000000049,-0.00053358563486747049,-1.7558935674309697e-05,0.34802579405883183,0.99998185166796771,-0.0014398405195176658,-0.0011206850032737272,-0.0057417122101575367,-0.40301384264151274,0.57392558661128479,0.32795464838647792,-0.57729992958216247,-0.57770831146204737,-0.30398779723629726,0.57175158350076727,-0.288705208255221,0.5747337681466409,-0.57519675957623662,-0.0060577278032130921,0.0026585855253427478,0.0029892985760023266,-0.0084939129378752681,-0.028899202839734392,-0.0040841266435173449,-0.16300161721802253,0.022521172755635286,1.0388450518475458,-0.023103964101291133,-0.022992065684022726,0.091069321315277812,0.0024505594733413446,-0.5130891172558173,0.002149344000731085,-0.0021553237186110832,-0.28998406019492357,2.9185185348042788,-2.1405988688042226e-06,0.29750570035681095,3.454918387216324,-2.2948588603789448e-06,-0.070022766361367256,0.0065474873873900118,0.047457283545912124,-0.01615761628361171,-0.53202766491549847,-0.0082765495495908739,-0.24183781423884079,0.14535599609084102,3.2557567149947082,-0.14441777776955186,-0.14335561677781575,0.016170187148092062,-0.063863304134291934,2.5389341877008205,-0.059210681532634868,0.059480495313009661
stepped,67,3,0.67800000000000049,-0.0005459811815033195,-1.2215574673657833e-05,0.34803196248508828,0.99998178177361674,-0.001448534037065091,-0.0011506046661654413,-0.0057457792255125439,-0.40334081322606841,0.57397121038157106,0.33004536150770791,-0.57734671518002645,-0.57775486901116813,-0.30380559391272993,0.57175622916721658,-0.28972123075720457,0.57473782999093681,-0.57520083229980012,-0.0061977733179245237,0.0026716805003259314,0.0030842131282283829,-0.0085262281620709784,-0.029963258056568579,-0.0041006797076061511,-0.16348529227782238,0.022811885143127163,1.0453565606149935,-0.02339279893200686,-0.023278774560377139,0.091101661783666091,0.0023228332246461544,-0.50801125099178324,0.0020309221479768999,-0.0020363617817427764,-0.28998406019492357,2.9185185348042788,-2.1405988688042226e-06,0.29750570035681095,3.454918387216324,-2.2948588603789448e-06,-0.071367003770480442,0.0035283147284925821,0.047711459323975879,-0.014063138333913964,-0.53404431394295382,-0.034399329429570101,-0.28962472051527044,0.14533309165510205,3.4444678809931881,-0.14308712789951536,-0.14171100845670415,0.036477160909111808,-0.056508888994278028,2.4756685468174742,-0.050290659088049507,0.050322951518713611
stepped,67,4,0.68000000000000049,-0.00055866219611670331,-6.858100411585323e-06,0.34803832175715133,0.99998170919388574,-0.0014572617367311115,-0.0011815923349853812,-0.0057499135175633148,-0.40366894230828548,0.57401741548508456,0.33214985249055828,-0.57739407312485158,-0.57780199339929417,-0.3036232446803544,0.57176064879879351,-0.29072735058909094,0.57474169067165459,-0.57520470372973564,-0.0063405073066918911,0.0026787371310362552,0.0031796360315185035,-0.0085543544304971398,-0.031031346568272652,-0.0041694783201993461,-0.16406454110854315,0.023102551756741318,1.0522454914251858,-0.023678972412548852,-0.023562194063044915,0.091174616187779153,0.0022098157884893324,-0.50305991594319277,0.0019303403588888819,-0.001935714967781961,-0.28998406019492357,2.9185185348042788,-2.1405988688042226e-06,0.29750570035681095,3.454918387216324,-2.2948588603789448e-06,-0.072736611316271932,0.00060492837990794215,0.047965762410275177,-0.011953755316334842,-0.53607566686761177,-0.0594201764960956,-0.33700053640517375,0.1454267568493019,3.6345589744406928,-0.14233525887510476,-0.14070108657273397,0.055870981544810155,-0.049313884661210616,2.4136754401028471,-0.04204259385702238,0.041883302687194673
pre_command,68,-1,0.68000000000000049,-0.00055866219611670331,-6.858100411585323e-06,0.34803832175715133,0.99998170919388574,-0.0014572617367311115,-0.0011815923349853812,-0.0057499135175633148,-0.40366894230828548,0.57401741548508456,0.33214985249055828,-0.57739407312485158,-0.57780199339929417,-0.3036232446803544,0.57176064879879351,-0.29072735058909094,0.57474169067165459,-0.57520470372973564,-0.0063405073066918911,0.0026787371310362552,0.0031796360315185035,-0.0085543544304971398,-0.031031346568272652,-0.0041694783201993461,-0.16406454110854315,0.023102551756741318,1.0522454914251858,-0.023678972412548852,-0.023562194063044915,0.091174616187779153,0.0022098157884893324,-0.50305991594319277,0.0019303403588888819,-0.001935714967781961,-0.28998406019492357,2.9185185348042788,-2.1405988688042226e-06,0.29750570035681095,3.454918387216324,-2.2948588603789448e-06,-0.072736611316271932,0.00060492837990794215,0.047965762410275177,-0.011953755316334842,-0.53607566686761177,-0.0594201764960956,-0.33700053640517375,0.1454267568493019,3.6345589744406928,-0.14233525887510476,-0.14070108657273397,0.055870981544810155,-0.049313884661210616,2.4136754401028471,-0.04204259385702238,0.041883302687194673
post_command,68,-1,0.68000000000000049,-0.00055866219611670331,-6.858100411585323e-06,0.34803832175715133,0.99998170919388574,-0.0014572617367311115,-0.0011815923349853812,-0.0057499135175633148,-0.40366894230828548,0.57401741548508456,0.33214985249055828,-0.57739407312485158,-0.57780199339929417,-0.3036232446803544,0.57176064879879351,-0.29072735058909094,0.57474169067165459,-0.57520470372973564,-0.0063405073066918911,0.0026787371310362552,0.0031796360315185035,-0.0085543544304971398,-0.031031346568272652,-0.0041694783201993461,-0.16406454110854315,0.023102551756741318,1.0522454914251858,-0.023678972412548852,-0.023562194063044915,0.091174616187779153,0.0022098157884893324,-0.50305991594319277,0.0019303403588888819,-0.001935714967781961,-0.29739099218607207,2.913590494765832,-2.3046821349375671e-06,0.30537150728428641,3.4598075672438133,-2.4621948974454482e-06,-0.073390893992413594,0.012114880081503323,0.05136233240377034,-0.010577679936239297,-0.57940800265253589,0.075904277733768316,-0.10272815152196754,0.14007753906416051,2.9982445977773504,-0.14715506210819038,-0.14741524279291551,-0.067328925521672356,-0.077867116011492987,3.0379722596908594,-0.082070599681623335,0.083482788226408061
stepped,68,0,0.68200000000000049,-0.00057163677426861595,-1.4521666327571563e-06,0.34804488647851206,0.99998163499728709,-0.0014660174322426731,-0.0012137384543350412,-0.0057538943338631774,-0.4039974823021088,0.57406418089944222,0.33426633644308429,-0.57744201968859699,-0.57784970744402875,-0.30344116476341537,0.57176475696278084,-0.29172131853692818,0.57474522306880693,-0.575208241226287,-0.0064872890759563422,0.0027029668894140834,0.0032823606803801769,-0.0085755097841470652,-0.032190162448099378,-0.0040176697593111042,-0.16426999691165989,0.023382707178844258,1.0582419762629909,-0.023973281872700473,-0.023857022367293722,0.091039958469520732,0.0020540819936583311,-0.49698397391861826,0.001766198576156008,-0.001768748275690412,-0.29739099218607207,2.913590494765832,-2.3046821349375671e-06,0.30537150728428641,3.4598075672438133,-2.4621948974454482e-06,-0.074794081202279053,0.0088106700114222274,0.051622263547591515,-0.0086381813793149995,-0.58145446788503641,0.046113867769947359,-0.15381156522178241,0.14029218218433312,3.1898544926338057,-0.14400151936587099,-0.14370071916603952,-0.045122532013761672,-0.070280434258818997,2.9773129863740966,-0.070617147445833306,0.071596260904103787
