candidate,source,tick,task,enabled,side,desired,realized_qp,raw_residual,normalized_residual,weighted_squared_cost,gradient_norm,reported_task_cost,wrench_task_cost,contact_task_cost,slack_task_cost,base_task_information,active_torque,active_contact,active_acceleration
B,common,101,xi,False,1,0.0,-6.244792000057194,-6.244792000057194,-6.244792000057194,38.997427123978326,2.8904691604215444,0.0,0.0007507095319944425,8.573243107217104e-06,0.0007507095319946843,unavailable_in_minimal_profile,0,0,3
B,common,101,native,True,0,176.64663142424956,50.00000057661145,-126.64663084763811,-6.3323315423819055,40.0984227626448,0.49486700577783793,97.95734136300906,0.0007507095319944425,8.573243107217104e-06,0.0007507095319946843,unavailable_in_minimal_profile,0,0,3
B,common,101,native,True,1,202.1301010694257,50.00000069430038,-152.13010037512532,-7.606505018756266,57.85891860036426,0.49486700577783793,97.95734136300906,0.0007507095319944425,8.573243107217104e-06,0.0007507095319946843,unavailable_in_minimal_profile,0,0,3
B,common,110,xi,False,0,0.0,-5.094752230360264,-5.094752230360264,-5.094752230360264,25.956500288760882,2.471932134753136,0.0,0.0034285842746915336,0.00010240046903811509,0.0034285842746345657,unavailable_in_minimal_profile,0,2,4
B,common,110,xi,False,1,0.0,-5.093763989741397,-5.093763989741397,-5.093763989741397,25.946431583186197,2.471932134753136,0.0,0.0034285842746915336,0.00010240046903811509,0.0034285842746345657,unavailable_in_minimal_profile,0,2,4
B,common,110,native,True,0,425.7262229322704,50.00000027836619,-375.7262226539042,-18.78631113269521,352.925485974428,1.293081635268191,668.8240461871436,0.0034285842746915336,0.00010240046903811509,0.0034285842746345657,unavailable_in_minimal_profile,0,2,4
B,common,110,native,True,1,405.4707080373702,50.00000026373906,-355.4707077736311,-17.773535388681555,315.8985602127156,1.293081635268191,668.8240461871436,0.0034285842746915336,0.00010240046903811509,0.0034285842746345657,unavailable_in_minimal_profile,0,2,4
B,own,0,xi,False,0,0.0,0.0005456255537383964,0.0005456255537383964,0.0005456255537383964,2.977072448923317e-07,0.00025492389749395757,0.0,1.8221538636492512e-12,4.95961298872294e-15,1.8221654308611032e-12,unavailable_in_minimal_profile,0,0,0
B,own,0,xi,False,1,0.0,0.0005471994734892334,0.0005471994734892334,0.0005471994734892334,2.994272637868943e-07,0.00025492389749395757,0.0,1.8221538636492512e-12,4.95961298872294e-15,1.8221654308611032e-12,unavailable_in_minimal_profile,0,0,0
B,own,0,native,True,0,0.0,-7.14059265089085e-08,-7.14059265089085e-08,-3.5702963254454252e-09,1.2747015851489106e-17,2.571936513231055e-10,2.6459429712364465e-17,1.8221538636492512e-12,4.95961298872294e-15,1.8221654308611032e-12,unavailable_in_minimal_profile,0,0,0
