channel,branch,scale,model,dof,joint,g_ddxi_common_contribution
slip_common_only,-,0.25,qp,12,left_knee_joint,0.02824025287399734
slip_common_only,-,0.25,mj,12,left_knee_joint,0.022592277858563686
slip_common_only,-,0.25,qp,14,left_connect1_joint,-0.0
slip_common_only,-,0.25,mj,14,left_connect1_joint,-0.0
slip_common_only,-,0.25,qp,15,left_connect2_joint,-0.0
slip_common_only,-,0.25,mj,15,left_connect2_joint,-0.0
slip_common_only,+,1.0,qp,6,right_hip_joint,-0.07492884875701428
slip_common_only,+,1.0,mj,6,right_hip_joint,-0.03518013914678986
slip_common_only,+,1.0,qp,7,right_knee_joint,0.07451268915511303
slip_common_only,+,1.0,mj,7,right_knee_joint,0.07061531153244593
slip_common_only,+,1.0,qp,9,right_connect1_joint,0.0
slip_common_only,+,1.0,mj,9,right_connect1_joint,0.0
slip_common_only,+,1.0,qp,10,right_connect2_joint,0.0
slip_common_only,+,1.0,mj,10,right_connect2_joint,0.0
slip_common_only,+,1.0,qp,11,left_hip_joint,-0.028382264496407475
slip_common_only,+,1.0,mj,11,left_hip_joint,-0.16565867700341405
slip_common_only,+,1.0,qp,12,left_knee_joint,0.028240252886619494
slip_common_only,+,1.0,mj,12,left_knee_joint,0.022592277870235947
slip_common_only,+,1.0,qp,14,left_connect1_joint,0.0
slip_common_only,+,1.0,mj,14,left_connect1_joint,0.0
slip_common_only,+,1.0,qp,15,left_connect2_joint,0.0
slip_common_only,+,1.0,mj,15,left_connect2_joint,0.0
slip_common_only,+,0.5,qp,6,right_hip_joint,-0.07492884875796332
slip_common_only,+,0.5,mj,6,right_hip_joint,-0.03518013914763918
slip_common_only,+,0.5,qp,7,right_knee_joint,0.07451268915606127
slip_common_only,+,0.5,mj,7,right_knee_joint,0.0706153115335284
slip_common_only,+,0.5,qp,9,right_connect1_joint,0.0
slip_common_only,+,0.5,mj,9,right_connect1_joint,0.0
slip_common_only,+,0.5,qp,10,right_connect2_joint,0.0
slip_common_only,+,0.5,mj,10,right_connect2_joint,0.0
slip_common_only,+,0.5,qp,11,left_hip_joint,-0.028382264498004503
slip_common_only,+,0.5,mj,11,left_hip_joint,-0.16565867700433692
slip_common_only,+,0.5,qp,12,left_knee_joint,0.02824025288821123
