time_s,q_left_hip_joint_rad,q_left_knee_joint_rad,q_left_wheel_joint_rad,dq_left_hip_joint_rad_s,dq_left_knee_joint_rad_s,dq_left_wheel_joint_rad_s,qdd_left_hip_joint_rad_s2,qdd_left_knee_joint_rad_s2,qdd_left_wheel_joint_rad_s2,ctrl_native_left_hip_joint_nm,ctrl_native_left_knee_joint_nm,ctrl_native_left_wheel_joint_nm,constraint_position_max_m,constraint_velocity_max_m_s,mechanical_energy_j
0.07600000000000005,-0.00018661724219520983,5.0778262907686995e-05,0.013784908513611964,-0.00457969181550431,0.0013058556828806293,0.35617886560948625,-0.051650032327703446,0.017183198079738192,4.753417826595746,0.000639506395765367,0.001631225614175721,0.0019998720912903717,0.0,0.0,2.5245580831544448e-05
0.07800000000000006,-0.00019598114047062682,5.3458636379197e-05,0.014516275312867621,-0.004681949137708501,0.0013401867357550037,0.3656833996278285,-0.051128661102095664,0.01716552643718726,4.7522670091711,0.0006561507450552701,0.001641341602304316,0.001999595754622326,0.0,0.0,2.66496052791203e-05
0.08000000000000006,-0.0002055474521999879,5.620759582998307e-05,0.015266645106258976,-0.004783155864680541,0.001374479725393033,0.3751848966956774,-0.050603363486019896,0.017146494819014625,4.750748533924448,0.0006727443232380293,0.0016513305880161975,0.0019991646948345288,0.0,0.0,2.809130376416777e-05
0.08200000000000006,-0.0002153140606509339,5.90250596990307e-05,0.016036010349723337,-0.004883304225473003,0.0014087319345238156,0.3846826217321812,-0.05007418039623129,0.01712610456539132,4.748862518251915,0.0006892858463490341,0.0016611917983916252,0.0019985789452811784,0.0,0.0,2.957053644652115e-05
0.08400000000000006,-0.00022527883371408825,6.191094099664929e-05,0.016824362029619566,-0.004982386531577166,0.0014429406488092981,0.3941758399481141,-0.04954115305208143,0.017104357142741222,4.7466091079664405,0.0007057740344515497,0.0016709244703977555,0.001997838551285936,0.0,0.0,3.108715187640196e-05
0.08600000000000006,-0.00023543962406913127,6.48651473108425e-05,0.01763168966342494,-0.0050803951775215085,0.0014771031570966046,0.403663816902687,-0.04900432297217128,0.017081254143653232,4.743988477286433,0.0007222076117357549,0.0016805278509476843,0.0019969435701384154,0.0,0.0,3.264098701756898e-05
0.08800000000000006,-0.00024579426935205815,6.788758081418281e-05,0.0184579813005456,-0.005177322641463444,0.00151121675167015,0.41314581856033133,-0.048463731970967476,0.01705679728677271,4.741000828822169,0.0007385853066174605,0.0016900011969587182,0.001995894071089751,0.0,0.0,3.423186727405575e-05
0.09000000000000007,-0.00025634059232360664,7.09781382711898e-05,0.019303223523240504,-0.005273161485774234,0.0015452787285034927,0.4226211113474515,-0.04791942215539542,0.017030988416671295,4.737646393560084,0.0007549058518365016,0.0016993437754098729,0.0019946901353472403,0.0,0.0,3.5859606520488154e-05
0.09200000000000007,-0.00026707640103884074,7.413671104621158e-05,0.020167401447658787,-0.005367904357617044,0.0015792863875108921,0.4320889622091412,-0.04737143592140488,0.01700382950369971,4.733925430844861,0.0007711679845547931,0.0017085548633985904,0.00199333185606806,0.0,0.0,3.75240071359752e-05
0.09400000000000007,-0.00027799948901787683,7.736318511180864e-05,0.021050498724990506,-0.0054615439895180475,0.0016132370327985282,0.4415486386658596,-0.046819815950501546,0.016975322643818055,4.729838228359192,0.0007873704464540469,0.0017176337481966775,0.001991819338352056,0.0,0.0,3.9224860041565284e-05
0.09600000000000007,-0.000289107635417738,8.065744105763933e-05,0.021952497542730633,-0.005554073199930568,0.0016471279729153444,0.45099940887006273,-0.04626460520626043,0.016945470058408126,4.725385102101587,0.0008035119838331351,0.0017265797273054537,0.001990152699233614,0.0,0.0,4.096194474125532e-05
0.09800000000000007,-0.00030039860520532233,8.401935409984627e-05,0.022873378626056207,-0.005645484893792179,0.0016809565211034737,0.4604405416627864,-0.04570584693080533,0.016914274094064624,4.720566396361845,0.0008195913477050985,0.001735392108510108,0.0019883320676726017,0.0,0.0,4.273502936654505e-05
0.10000000000000007,-0.0003118701493314718,8.744879409094268e-05,0.023813121239316556,-0.005735772063074713,0.0017147199955482079,0.46987130663017507,-0.04514358464126711,0.016881737222367073,4.715382483694321,0.0008356072938937901,0.0017440702099332608,0.0019863575845443905,0.0,0.0,4.454387072452325e-05
0.10200000000000008,-0.00032352000490612606,9.094562553019762e-05,0.02477170318763646,-0.005824927787327134,0.0017484157196274715,0.4792909741599533,-0.044577862126210434,0.016847862039631803,4.709833764889115,0.0008515585831301454,0.0017526133600877273,0.001984229402628956,0.0,0.0,4.638821434947212e-05
0.10400000000000008,-0.0003353458953745485,9.450970757451913e-05,0.02574910081863213,-0.0059129452342112174,0.0017820410221607596,0.48869881549783534,-0.0440087234420419,0.016812651266644104,4.703920668941007,0.0008674439811480737,0.0017610208979284723,0.001981947686599054,0.0,0.0,4.8267794557976993e-05
0.10600000000000008,-0.00034734553069460847,9.814089404983413e-05,0.026745289024239866,-0.005999817660029994,0.001815593237657502,0.49809410280386796,-0.04343621290938831,0.016776107748371183,4.69764365301632,0.0008832622587799627,0.0017692921729037631,0.0019795126130074817,0.0,0.0,5.018233450752447e-05
0.10800000000000008,-0.00035951660751510625,0.00010183903346296375,0.02776024124265727,-0.00608553841024889,0.0018490697065648108,0.5074761092087027,-0.04286037510944793,0.016738234453654407,4.691003202417384,0.0008990121920517872,0.0017774265450055048,0.001976924370273415,0.0,0.0,5.21315462585762e-05
0.11000000000000008,-0.00037185680935512534,0.0001056039690139929,0.028793929460396855,-0.006170100920009542,0.0018824677755145773,0.5168441088697928,-0.042281254880326156,0.016699034474883283,4.683999830545086,0.0009146925622778171,0.0017854233848187645,0.001974183158667827,0.0,0.0,5.41151308400958e-05
0.11200000000000009,-0.0003843638067843978,0.00010943553860913265,0.029846324214451877,-0.006253498714636216,0.0019157847975698747,0.526197377027511,-0.04169889731333698,0.016658511027648697,4.6766340788591085,0.0009303021561549166,0.0017932820735704718,0.0019712891902979963,0.0,0.0,5.61327783185147e-05
0.11400000000000009,-0.00039703525760466737,0.0001133335748740739,0.030917394594574245,-0.006335725410134795,0.0019490181324706294,0.5355351900611831,-0.04111334774928947,0.016616667450377293,4.668906516836045,0.000945839765856425,0.0018010020031772986,0.0019682426890910904,0.0,0.0,5.8184167870115314e-05
0.11600000000000009,-0.00040986880703203595,0.00011729790516783095,0.032007108245664315,-0.00641677471368429,0.0019821651468785242,0.5448568255450339,-0.04052465177474713,0.016573507203947378,4.66081774192537,0.0009613041891256155,0.0018085825762927115,0.0019650438907768413,0.0,0.0,6.026896785681156e-05
0.11800000000000009,-0.0004228620878802776,0.00012132835159707313,0.0331154313702724,-0.006496640424120818,0.00201522321462109,0.5541615623040402,-0.03993285521826423,0.01652903387128291,4.652368379503188,0.0009766942293687232,0.0018160232063531916,0.001961693042869305,0.0,0.0,6.23868359053056e-05
