candidate,source,tick,channel,output_family,classification,plus_regime_valid,minus_regime_valid,plus_trusted,minus_trusted,family_trusted,branch_relative,plus_scale,minus_scale
C,common,74,xi_differential,native_wheel,R44-S,True,True,True,True,True,2.0573074127363158e-11,1.0,1.0
C,common,74,xi_differential,xi,R44-S,True,True,True,True,True,3.627906703732691e-09,1.0,1.0
C,common,74,xi_differential,slip,R44-S,True,True,True,True,True,5.9125684090731656e-08,1.0,1.0
C,common,74,xi_differential,base,R44-S,True,True,True,True,True,1.0181026950987368e-09,1.0,1.0
C,common,74,xi_differential,normal_load,R44-S,True,True,True,True,True,3.9008236861055204e-08,1.0,1.0
C,common,101,xi_common,native_wheel,R44-S,True,True,True,True,True,0.003003486077983883,1.0,1.0
C,common,101,xi_common,xi,R44-S,True,True,True,True,True,2.661840138085738e-09,1.0,1.0
C,common,101,xi_common,slip,R44-S,True,True,True,True,True,1.221752327510192e-07,1.0,1.0
C,common,101,xi_common,base,R44-S,True,True,True,True,True,9.127078928517856e-09,1.0,1.0
C,common,101,xi_common,normal_load,R44-S,True,True,True,True,True,4.019815367330687e-10,1.0,1.0
C,common,101,xi_differential,native_wheel,R44-S,True,True,True,True,True,0.0019103065465061336,1.0,1.0
C,common,101,xi_differential,xi,R44-S,True,True,True,True,True,1.4319737130549258e-08,1.0,1.0
C,common,101,xi_differential,slip,R44-S,True,True,True,True,True,4.1294602883037276e-07,1.0,1.0
C,common,101,xi_differential,base,R44-S,True,True,True,True,True,8.944735087575537e-10,1.0,1.0
C,common,101,xi_differential,normal_load,R44-S,True,True,True,True,True,1.2698944978307553e-10,1.0,1.0
C,common,110,xi_common,native_wheel,R44-S,True,True,True,True,True,0.0003387180762100606,1.0,1.0
C,common,110,xi_common,xi,R44-S,True,True,True,True,True,8.569967208891374e-08,1.0,1.0
C,common,110,xi_common,slip,R44-S,True,True,True,True,True,2.856752848987367e-07,1.0,1.0
C,common,110,xi_common,base,R44-S,True,True,True,True,True,2.812419506134941e-10,1.0,1.0
C,common,110,xi_common,normal_load,R44-S,True,True,True,True,True,1.0365102208014437e-11,1.0,1.0
C,common,110,xi_differential,native_wheel,R44-S,True,True,True,True,True,0.00044870016314737946,1.0,1.0
C,common,110,xi_differential,xi,R44-S,True,True,True,True,True,6.112890183014491e-08,1.0,1.0
C,common,110,xi_differential,slip,R44-S,True,True,True,True,True,4.960040074330819e-07,1.0,1.0
C,common,110,xi_differential,base,R44-S,True,True,True,True,True,4.157690329922947e-09,1.0,1.0
C,common,110,xi_differential,normal_load,R44-S,True,True,True,True,True,6.313660788702855e-11,1.0,1.0
C,own,0,xi_common,native_wheel,R44-S,True,True,True,True,True,2.102272504143691e-12,1.0,1.0
C,own,0,xi_common,xi,R44-S,True,True,True,True,True,5.944125932592454e-13,1.0,1.0
C,own,0,xi_common,slip,R44-S,True,True,True,True,True,1.8545584210904961e-10,1.0,1.0
C,own,0,xi_common,base,R44-S,True,True,True,True,True,4.0679032884899883e-13,1.0,1.0
C,own,0,xi_common,normal_load,R44-S,True,True,True,True,True,3.093217167659401e-08,1.0,1.0
C,own,0,xi_differential,native_wheel,R44-S,True,True,True,True,True,1.5297057486167599e-13,1.0,1.0
C,own,0,xi_differential,xi,R44-S,True,True,True,True,True,3.321938313640988e-13,1.0,1.0
C,own,0,xi_differential,slip,R44-S,True,True,True,True,True,4.4584801424274974e-11,1.0,1.0
C,own,0,xi_differential,base,R44-S,True,True,True,True,True,6.116260055577e-10,1.0,1.0
C,own,0,xi_differential,normal_load,R44-S,True,True,True,True,True,8.582750294181723e-11,1.0,1.0
C,own,84,xi_common,native_wheel,R44-S,True,True,True,True,True,1.8436787282155298e-10,1.0,1.0
C,own,84,xi_common,xi,R44-S,True,True,True,True,True,6.212178515465732e-09,1.0,1.0
C,own,84,xi_common,slip,R44-S,True,True,True,True,True,5.468918525586771e-06,1.0,1.0
C,own,84,xi_common,base,R44-S,True,True,True,True,True,2.0327635899155385e-11,1.0,1.0
C,own,84,xi_common,normal_load,R44-S,True,True,True,True,True,4.1794287387869217e-07,1.0,1.0
C,own,84,xi_differential,native_wheel,R44-S,True,True,True,True,True,1.488556081794366e-11,1.0,1.0
C,own,84,xi_differential,xi,R44-S,True,True,True,True,True,2.859110821588398e-09,1.0,1.0
C,own,84,xi_differential,slip,R44-S,True,True,True,True,True,1.1576765721752171e-07,1.0,1.0
C,own,84,xi_differential,base,R44-S,True,True,True,True,True,4.551877816691579e-09,1.0,1.0
C,own,84,xi_differential,normal_load,R44-S,True,True,True,True,True,2.983938075391828e-09,1.0,1.0
C,own,94,xi_common,native_wheel,R44-S,True,True,True,True,True,1.957961201372311e-09,1.0,1.0
C,own,94,xi_common,xi,R44-S,True,True,True,True,True,1.3271971845139751e-08,1.0,1.0
C,own,94,xi_common,slip,R44-S,True,True,True,True,True,1.0436924000641842e-05,1.0,1.0
C,own,94,xi_common,base,R44-S,True,True,True,True,True,2.151028526618729e-10,1.0,1.0
C,own,94,xi_common,normal_load,R44-S,True,True,True,True,True,1.8252506560167239e-06,1.0,1.0
C,own,94,xi_differential,native_wheel,R44-S,True,True,True,True,True,5.13193966296437e-10,1.0,1.0
C,own,94,xi_differential,xi,R44-S,True,True,True,True,True,1.1150006728941727e-08,1.0,1.0
C,own,94,xi_differential,slip,R44-S,True,True,True,True,True,2.653720148964111e-07,1.0,1.0
C,own,94,xi_differential,base,R44-S,True,True,True,True,True,3.5524794398606865e-07,1.0,1.0
C,own,94,xi_differential,normal_load,R44-S,True,True,True,True,True,2.3005703443031682e-07,1.0,1.0
C,own,98,xi_common,native_wheel,R44-S,True,True,True,True,True,2.090631156375281e-09,1.0,1.0
C,own,98,xi_common,xi,R44-S,True,True,True,True,True,1.0573974587710124e-08,1.0,1.0
