candidate,source,tick,channel,direction,scale,side,qp_contact_gain,mj_contact_gain,mj_actuator_gain,mj_mass_times_qacc_gain,mj_other_gain,balance_residual,mj_wheel_qacc_gain,cancellation_ratio
B,common,110,native_common,minus,1.0,left,-2.30593322214645e-12,-2.113864638886298e-12,2.5618396293225487e-12,-4.4783937510084574e-13,-8.958143655370963e-13,0.0,-1.2163070550741395e-09,0.8251354279523294
B,common,110,native_common,minus,1.0,right,-2.6309510126054647e-12,-2.4436008771999695e-12,2.8996249845647526e-12,-4.564880002158242e-13,-9.125121075806072e-13,0.0,-1.191580167869688e-09,0.8427299703264095
B,own,0,native_common,plus,1.0,left,0.00035181169189735153,0.0001760263138018594,5.191961928798872e-06,-0.0001812182757309845,-0.0003624365514616428,0.0,-0.5092435809766703,-33.903621832331496
B,own,0,native_common,plus,1.0,right,0.0003496161431575822,0.0001755501711981104,5.191961643057749e-06,-0.00018074213284132657,-0.0003614842656824947,0.0,-0.5083472339934558,-33.81191604773144
B,own,0,native_common,minus,1.0,left,0.00035181169190205697,0.00017602631381015042,5.19196192405966e-06,-0.0001812182757342087,-0.0003624365514684188,0.0,-0.5092435809859408,-33.903621864875554
B,own,0,native_common,minus,1.0,right,0.0003496161431623321,0.0001755501712057475,5.191961638320596e-06,-0.00018074213284439202,-0.00036148426568846013,0.0,-0.5083472340021178,-33.81191608005243
B,own,0,native_differential,plus,1.0,left,-0.0003201375836499559,-0.00016157395786511536,5.580090070228332e-09,0.00016156837777444338,0.00032313675554948855,0.0,0.5544021100776879,28955.439039804587
B,own,0,native_differential,plus,1.0,right,0.0003176509593841325,0.00016095775933708928,1.2235362469451725e-08,-0.000160969994699621,-0.0003219399893991797,0.0,-0.5542392547246777,-13155.127993874783
B,own,0,native_differential,minus,1.0,left,-0.000320137583651335,-0.00016157395786666287,5.5800914743760245e-09,0.00016156837777536148,0.00032313675555055,0.0,0.5544021100803098,28955.43175387288
B,own,0,native_differential,minus,1.0,right,0.0003176509593827415,0.00016095775933443245,1.2235363876191338e-08,-0.00016096999469873864,-0.0003219399893970473,0.0,-0.5542392547221953,-13155.126481169751
B,own,93,native_common,plus,1.0,left,0.0003505920897694387,0.00017427915515340169,5.139150562071341e-06,-0.00017941830571396985,-0.00035883661142944285,0.0,-0.5070115492679328,-33.912054735200876
B,own,93,native_common,plus,1.0,right,0.0003484360947247217,0.00017452786532547258,5.139159295457229e-06,-0.00017966702461945453,-0.00035933404924038434,0.0,-0.5069965022926937,-33.96039221429599
B,own,93,native_common,minus,1.0,left,0.00035059208978976963,0.0001742791551822328,5.139150542292004e-06,-0.0001794183057250433,-0.0003588366114495681,0.0,-0.5070115492980154,-33.9120548713302
B,own,93,native_common,minus,1.0,right,0.00034843609474387305,0.00017452786535882264,5.139159275507943e-06,-0.00017966702463485432,-0.00035933404926918487,0.0,-0.5069965023375556,-33.96039235261349
B,own,93,native_differential,plus,1.0,left,-0.0003193039348671489,-0.0001601700697661081,2.2587645750217478e-08,0.00016014748212320087,0.00032029496424355874,0.0,0.5513899898427432,7091.04753710625
B,own,93,native_differential,plus,1.0,right,0.00031716957330799045,0.00016293473195789967,2.9217291008146564e-08,-0.00016296394924679124,-0.00032592789849569906,0.0,-0.5576199541214955,-5576.6543144766265
B,own,93,native_differential,minus,1.0,left,-0.000319303934851467,-0.00016017006974244647,2.258762952160831e-08,0.0001601474821114619,0.00032029496422438674,0.0,0.5513899898088237,7091.052630787167
B,own,93,native_differential,minus,1.0,right,0.00031716957332443563,0.00016293473198155262,2.9217274628087905e-08,-0.00016296394925659528,-0.00032592789851277595,0.0,-0.5576199541487092,-5576.657441721686
B,own,97,native_common,plus,1.0,left,0.000350089796427866,0.000173464763253044,5.109521338842107e-06,-0.00017857428459375018,-0.0003571485691856363,0.0,-0.5057851060399443,-33.94931770504235
B,own,97,native_common,plus,1.0,right,0.0003477799731506359,0.0001737071331435469,5.109529731147241e-06,-0.00017881666287578173,-0.00035763332575047585,0.0,-0.5058026860140785,-33.99669681627325
B,own,97,native_common,minus,1.0,left,0.0003500897973782169,0.00017346476484257547,5.109520383752489e-06,-0.00017857428522378375,-0.0003571485704501117,0.0,-0.5057851078323061,-33.94932436206097
B,own,97,native_common,minus,1.0,right,0.0003477799740991827,0.00017370713473534652,5.109528777153582e-06,-0.00017881666351090688,-0.000357633327023407,0.0,-0.5058026878190702,-33.99670347528904
B,own,97,native_differential,plus,1.0,left,-0.0003191352414058657,-0.0001598681341931276,2.13601049525627e-08,0.0001598467740857354,0.00031969354817391047,0.0,0.5507135869099677,7484.426436488426
B,own,97,native_differential,plus,1.0,right,0.0003168449127313733,0.00016246464446693053,2.798013170421008e-08,-0.00016249262459943256,-0.0003249852491980673,0.0,-0.5566363908494765,-5806.428868327485
B,own,97,native_differential,minus,1.0,left,-0.0003191352413824122,-0.00015986813415556217,2.1360082521131257e-08,0.00015984677407398937,0.0003196935481470304,0.0,0.5507135868782065,7484.434294549502
B,own,97,native_differential,minus,1.0,right,0.0003168449127520512,0.00016246464450702866,2.798010986129713e-08,-0.00016249262461666116,-0.0003249852492335511,0.0,-0.556636390899854,-5806.433402599119
B,own,98,native_common,plus,1.0,left,1.926570014632034e-11,1.5272227926743653e-11,-4.703168261202713e-12,-1.0569385512876552e-11,-2.1138445178417493e-11,0.0,-2.9883882035619536e-08,3.247221251411953
B,own,98,native_common,plus,1.0,right,1.9859947020250956e-11,1.5676140940890093e-11,-4.703035531139878e-12,-1.0972655018040983e-11,-2.19457604277912e-11,0.0,-3.121224168012304e-08,3.3331963658566397
B,own,98,native_common,minus,1.0,left,1.9489965197294623e-11,1.540347710493606e-11,-4.723692021980615e-12,-1.0679170027149355e-11,-2.13589551101048e-11,0.0,-3.01902325361425e-08,3.260897838652376
B,own,98,native_common,minus,1.0,right,2.0086016183640254e-11,1.5822759769079653e-11,-4.724404732443094e-12,-1.1098483527383859e-11,-2.2196838564020418e-11,0.0,-3.1573286207731144e-08,3.3491541612476023
B,own,98,native_differential,plus,1.0,left,-1.2102402413560753e-11,-5.8801487984316836e-12,-1.8251201873605016e-13,6.060258646441472e-12,1.2122919463609205e-11,0.0,2.112505725904157e-08,
B,own,98,native_differential,plus,1.0,right,1.344452327245449e-11,7.142411662108827e-12,-1.8468228655350513e-13,-6.959812387948991e-12,-1.3917541763504313e-11,0.0,-2.361462136946102e-08,
B,own,98,native_differential,minus,1.0,left,-1.2133488658250258e-11,-5.875855357828641e-12,-1.9684900004523012e-13,6.074820746228932e-12,1.2147525104102804e-11,0.0,2.121387510101158e-08,
B,own,98,native_differential,minus,1.0,right,1.3715140134706871e-11,7.303446042383754e-12,-1.9972088219355477e-13,-7.102666237718077e-12,-1.4206391397908276e-11,0.0,-2.4066526549404443e-08,
B,own,101,native_common,plus,1.0,left,1.99854022220336e-12,1.5678951192921176e-12,-4.725631032862811e-13,-1.0943074096273493e-12,-2.1896394256331858e-12,0.0,-3.1106495157473546e-09,
B,own,101,native_common,plus,1.0,right,2.001454557643001e-12,1.5717288581740263e-12,-4.723609673437483e-13,-1.103595832926214e-12,-2.2029637237564917e-12,0.0,-3.1370106512440543e-09,
B,own,115,native_common,minus,1.0,left,-8.923417560424696e-13,-8.057443601217074e-13,1.0347278589506459e-12,-2.277246324066956e-13,-4.567081312356341e-13,0.0,-6.52420339974924e-10,0.7787017167381974
B,own,115,native_common,minus,1.0,right,-9.0427665355719e-13,-8.053280264874729e-13,1.0447892551113114e-12,-2.390453766258939e-13,-4.785066052497323e-13,0.0,-6.854605771877686e-10,0.7708042770804278
B,own,119,native_common,plus,1.0,left,-7.652212197228891e-13,-6.833422716567839e-13,9.045542093133463e-13,-2.2070938293875235e-13,-4.419213205953147e-13,0.0,-6.470202151831472e-10,
B,own,119,native_common,plus,1.0,right,-8.298917109073045e-13,-7.457923167919489e-13,9.70473701400465e-13,-2.2507133097736385e-13,-4.497527155858798e-13,0.0,-6.529887741635321e-10,
B,own,119,native_common,minus,1.0,left,-8.260059303211165e-13,-7.427392034742297e-13,9.674205880827458e-13,-2.2375032798708658e-13,-4.484317125956027e-13,0.0,-6.492939519375795e-10,
B,own,119,native_common,minus,1.0,right,-7.749356711883593e-13,-6.905587213168474e-13,9.127421041199568e-13,-2.2212353370986852e-13,-4.4430691651297787e-13,0.0,-6.502887117676437e-10,
B,own,119,native_differential,minus,1.0,left,1.1629586182948515e-13,9.409140133698202e-14,-2.385591724163305e-13,1.4451263362120926e-13,2.8898040470055776e-13,0.0,4.685318799602101e-10,
B,own,119,native_differential,minus,1.0,right,-1.2073675392798577e-13,-9.769962616701378e-14,2.4119595209981526e-13,-1.4320009598499157e-13,-2.8669642191779305e-13,0.0,-4.644107320928015e-10,
C,common,0,xi_common,plus,1.0,left,-0.0009136804260715184,-0.00047322911788782855,4.83066012494404e-07,0.000472746051870714,0.0009454921037460481,0.0,1.3281276758382754,979.6365416896529
C,common,0,xi_common,plus,1.0,right,-0.0009114004386809229,-0.00047374502763933117,4.830322427012788e-07,0.0004732619953931129,0.0009465239907897429,0.0,1.3318529048401473,980.773094959437
C,common,0,xi_common,minus,1.0,left,-0.0009136804260731664,-0.00047322911787898417,4.830660120652997e-07,0.00047274605187032923,0.0009454921037372481,0.0,1.3281276758378437,979.6365425415485
C,common,0,xi_common,minus,1.0,right,-0.0009114004386814433,-0.000473745027632685,4.830322421253256e-07,0.000473261995393872,0.0009465239907844316,0.0,1.3318529048437444,980.7730961151225
C,common,0,xi_differential,plus,1.0,left,0.0046969334501027575,0.002422808469455123,6.879360535169101e-08,-0.0024228772630592653,-0.0048457545261197405,0.0,-8.315233668337742,-35218.51278282463
C,common,0,xi_differential,plus,1.0,right,-0.004666982896077009,-0.002417518247763964,-2.856117321307559e-08,0.002417546808924044,0.004835093617861221,0.0,8.323104745639265,-84643.52040893053
C,common,0,xi_differential,minus,1.0,left,0.004696933450102714,0.002422808469452913,6.879360460937252e-08,-0.0024228772630597696,-0.004845754526117292,0.0,-8.315233668340355,-35218.51316281844
C,common,0,xi_differential,minus,1.0,right,-0.0046669828960772255,-0.0024175182477373792,-2.8561174032055865e-08,0.0024175468089245892,0.004835093617836001,0.0,8.32310474564113,-84643.51798088056
C,common,46,xi_common,plus,1.0,left,-0.0009293597343966453,-0.00047841168386245775,4.856735171191308e-07,0.0004779260103327554,0.0009558520206780941,0.0,1.3501195692185775,985.0479118158469
C,common,46,xi_common,plus,1.0,right,-0.0008961075335454927,-0.0004694718142682873,4.859690222559434e-07,0.0004689858452359153,0.0009379716904819467,0.0,1.3112828612458216,966.05296380606
C,common,46,xi_common,minus,1.0,left,-0.0009293597344101762,-0.00047841168390053493,4.856735590791101e-07,0.0004779260103439651,0.0009558520206854209,0.0,1.3501195693093493,985.0478267906029
C,common,46,xi_common,minus,1.0,right,-0.000896107533568391,-0.0004694718143128697,4.859690629531661e-07,0.00046898584524966534,0.0009379716904995819,0.0,1.3112828613618177,966.0528829962037
C,common,46,xi_differential,plus,1.0,left,0.004900948950662884,0.002369481077157346,1.9606977381585796e-06,-0.002371441774898988,-0.004742883549794493,0.0,-8.152791319757213,-1208.4887084037146
C,common,46,xi_differential,plus,1.0,right,-0.004765698366727966,-0.002380615333540375,1.8592332735295589e-06,0.0023787561002507947,0.00475751220051764,0.0,8.065658265456577,1280.4285333281643
C,common,46,xi_differential,minus,1.0,left,0.004900948950727069,0.002369481077099493,1.960697849164619e-06,-0.002371441774927925,-0.004742883549876583,0.0,-8.152791319876762,-1208.488639954923
C,common,46,xi_differential,minus,1.0,right,-0.0047656983667009045,-0.0023806153336174835,1.859233384750067e-06,0.0023787561002310015,0.004757512200463734,0.0,8.065658265409503,1280.428456773599
C,common,74,xi_common,plus,1.0,left,-0.0009356751334854002,-0.00047881530522014826,4.6847701907244547e-07,0.0004783468282057422,0.000956693656406818,0.0,1.3534302261540176,1022.067861873293
C,common,74,xi_common,plus,1.0,right,-0.0008878914773823021,-0.00046851153906717763,4.689379317864196e-07,0.0004680426011075591,0.0009360852022429503,0.0,1.3016930493284562,999.090726745824
C,common,74,xi_common,minus,1.0,left,-0.000935675133473951,-0.00047881530536759975,4.684771725416018e-07,0.00047834682819002225,0.0009566936563850804,0.0,1.3534302261842157,1022.0675273672591
C,common,74,xi_common,minus,1.0,right,-0.0008878914773649549,-0.00046851153919051647,4.689380801076485e-07,0.00046804260110936704,0.0009360852022197759,0.0,1.3016930494598178,999.0904110047235
C,common,74,xi_differential,plus,1.0,left,0.00559790471067953,0.0021295947259693596,1.569808423432314e-05,-0.0021452928102059076,-0.00429058562040959,0.0,-7.288333266527758,-135.6595297987444
C,common,74,xi_differential,plus,1.0,right,-0.0053493256121202315,-0.002157721650494944,1.5579242124256375e-05,0.002142142408361606,0.004284284816732294,0.0,7.089893019734106,138.49978280621502
C,common,74,xi_differential,minus,1.0,left,0.00559790471062957,0.0021295947259147158,1.569808429283245e-05,-0.0021452928102016406,-0.004290585620409189,0.0,-7.288333266425084,-135.65952928963836
C,common,74,xi_differential,minus,1.0,right,-0.005349325612144518,-0.002157721650546812,1.5579242173707514e-05,0.0021421424083815674,0.004284284816754672,0.0,7.08989301991636,138.4997823699227
C,common,101,xi_common,plus,1.0,left,0.1995290390033433,0.1614596944552349,-0.19796784793041367,0.036508153475197536,0.07301630695037631,0.0,100.78971835374091,0.8155854404801556
C,common,101,xi_common,plus,1.0,right,0.04442665391436451,0.034737678053303744,-0.0418035822316587,0.0070659041783517115,0.014131808356706667,0.0,21.63347716335977,0.8309737156208636
