candidate,source,tick,qp_norm,mj_norm,error_norm,relative_error,base_error_norm,leg_error_norm,wheel_left_error,wheel_right_error,wheel_common_error,wheel_differential_error,qp_actuator_wheel_left,qp_actuator_wheel_right,mj_actuator_wheel_left,mj_actuator_wheel_right,reconstruction_residual
B,own,115,62.84261121682702,61.599159414363015,13.08865672522127,0.20827678022578083,12.856601583914545,2.452683481959941,0.050451398672705094,0.05028893376093799,0.05037016621682154,-8.123245588355366e-05,0.11536721620807547,0.11774994450262918,-0.11536721620807547,-0.11774994450262918,0.0
B,own,119,61.08315193276349,75.03122248920252,20.354370356988984,0.3332239695062527,20.13834606874243,2.9545236289902292,0.09934895379032699,0.09126968914917438,0.09530932146975069,-0.004039632320576303,0.23934414498406784,0.24530051550828658,-0.23934414498406784,-0.24530051550828658,0.0
C,common,0,63.427933007632234,63.02926274828418,4.903670145470785,0.07731089305528417,4.903063312717092,0.07713909575813016,-0.00035398601976441854,0.000694023547389876,0.00017001876381272875,0.0005240047835771473,-2.0013469629107204e-07,-2.1155571215053248e-07,2.0013469629107204e-07,2.1155571215053248e-07,0.0
C,common,46,63.428225832715384,63.6654283298554,4.881665828552654,0.07696361934239629,4.8787773088860416,0.16784251048495133,0.0032167362919647696,-0.003431652529111027,-0.00010745811857312869,-0.0033241944105378983,3.067575964543693e-06,2.834633262364398e-06,-3.067575964543693e-06,-2.834633262364398e-06,0.0
C,common,74,63.43346489407336,63.643604522309765,4.853056891548399,0.07650625580129432,4.847235932421655,0.23752768172601768,0.004092488915889966,-0.005372149859894607,-0.0006398304720023201,-0.0047323193878922865,2.0764265992558372e-05,2.041124155210414e-05,-2.0764265992558372e-05,-2.041124155210414e-05,0.0
C,common,101,51.53137072402544,54.811142124585636,8.620701580077746,0.16729036039513928,8.542903582377399,1.1530425766590384,0.04789888077820181,0.05909846520894757,0.05349867299357469,0.0055997922153728785,-0.49146964182804237,-0.46859146574218014,0.49146964182804237,0.46859146574218014,0.0
C,common,110,61.79537253523998,79.69881918749921,19.961149566062304,0.3230201347953535,19.69142831855328,3.263685819990366,0.16777736061283166,0.1238886582655555,0.14583300943919358,-0.021944351173638077,-1.2357110024943696,-0.8990583958024412,1.2357110024943696,0.8990583958024412,0.0
C,own,0,63.427933007632234,63.02926274828455,4.903670145470771,0.07731089305528396,4.903063312717078,0.07713909575810365,-0.0003539860197645733,0.0006940235473896987,0.00017001876381256268,0.000524004783577136,-2.0013469629107204e-07,-2.1155571215053248e-07,2.0013469629107204e-07,2.1155571215053248e-07,0.0
C,own,84,63.425760021144036,63.896543596843365,5.855599392790983,0.09232210052885327,5.838842419345698,0.442480068122596,0.008930459335703116,0.009751262158562913,0.009340860747133015,0.0004104014114298983,-2.417899774828238e-06,-2.419485946763896e-06,2.417899774828238e-06,2.419485946763896e-06,0.0
C,own,94,63.4269436970287,64.118373569635,8.649088152026422,0.13636299729875836,8.55718429737791,1.2569470599876222,0.02584981940772705,0.027177885455246013,0.02651385243148653,0.0006640330237594819,-5.191507163218422e-06,-5.178027628374312e-06,5.191507163218422e-06,5.178027628374312e-06,0.0
C,own,98,63.424458411407876,64.1136635645832,11.186547098056234,0.17637591834830962,11.022524605290867,1.9077693190044644,0.039178549406020044,0.04084812749022032,0.04001333844812018,0.0008347890421001383,-5.866301128368498e-06,-5.841213317051818e-06,5.866301128368498e-06,5.841213317051818e-06,0.0
C,own,102,63.32016183340362,63.822060677433,13.367708721860142,0.21111299047262075,13.135785729844967,2.478190025511309,0.05102473274222153,0.05234888921355453,0.051686810977888034,0.0006620782356665002,0.009232842238384132,0.010334092116967062,-0.009232842238384132,-0.010334092116967062,0.0
