candidate,source,tick,native_qdot_left,native_qdot_right,rim_rate_left,rim_rate_right,dxi_left,dxi_right,slip_left,slip_right,lateral_left,lateral_right,normal_velocity_left,normal_velocity_right,material_tangent_acc_left,material_tangent_acc_right,penetration_left,penetration_right,normal_load_left,normal_load_right,rigid_body_formula_residual
C,common,0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005572547986090019,-0.0013451066260316558,0.00043053099359281755,0.00030408489622926055,30.973416637890985,31.510127936555318,3.469446951953614e-18
C,common,46,-0.709928330835265,0.7308996954816216,0.03549641654176325,-0.03654498477408108,-0.03488190561061115,0.03106956460382119,0.00027149725717448905,0.0003126818173568857,5.482777100841821e-05,-0.0001351581443116782,0.00021505678603724412,0.00022086729520707577,-0.04865011611121174,-0.0594626402849053,0.0005054383274184643,0.0005151615108972066,31.018284137072357,32.09811661844887,0.01786081661795874
C,common,74,-0.2661592196341956,1.316100273805703,0.01330796098170978,-0.06580501369028516,-0.023253330490960476,0.045223439762004755,8.082827534191574e-05,0.00013796772153332887,7.559115463162398e-05,-3.964775136093313e-05,-0.00011734893605458592,-7.503538024794732e-05,-0.03862706009271835,-0.047887308089602065,0.0005131484545931042,0.0005202503655788171,31.0191111916835,32.08020571698938,0.059311473161548195
C,common,101,8.032624163343272,9.191429923675287,-0.4016312081671636,-0.45957149618376436,0.18776832435348978,0.24859588067978317,0.001890552837855386,0.0035874598012506365,4.6139191645243674e-05,-0.00017855372833959406,0.0038168315525010277,0.004814171001112014,0.6217539038111236,0.6196567562266528,0.000385840011635559,0.00034422146050504254,26.536154154111934,24.97729001551697,2.9059177097781608
C,common,110,19.35898079528944,18.437904989462332,-0.9679490397644721,-0.9218952494731166,0.4622002225580122,0.47173015961884945,0.019098653380938746,0.04171730613115365,0.0012207725819779313,-0.000967744408700821,0.03392939798430833,-0.024938146871241202,2.3703619634545854,0.8887201716831612,0.00013589726594277068,4.293881541506117e-05,37.729925744005875,31.128054650754542,13.965491257012735
C,own,0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005572547986090895,-0.0013451066260318154,0.00043053099359287306,0.00030408489622931606,30.973416637891177,31.510127936555495,1.1102230246251565e-16
C,own,84,-1.9983943225027683,-2.034091023904746,0.09991971612513842,0.1017045511952373,-0.011262626111674834,-0.012264427344416795,-8.824243690008782e-05,-9.606157947641969e-05,3.739491854735246e-05,3.405488015942747e-05,0.00018660537798875163,0.00018910544858187538,-0.0018188067103614206,-0.002007878947831547,0.0005127008010733375,0.0005224301516886937,31.11591984120934,32.19070395240569,0.12481713547519699
C,own,94,-5.736919306224335,-5.836973273088157,0.28684596531121676,0.29184866365440787,-0.031781858029037324,-0.03428713403506772,-3.589826392103035e-05,-6.966208168876498e-05,2.767947163265539e-06,2.452916152662383e-06,0.0016264899816725103,0.0016493084197305213,-0.00464887110808403,-0.0057767802709628715,0.0004606807326742804,0.00046978244837058564,31.179046354069328,32.247443476623765,1.0174127486322333
C,own,98,-8.801462445066129,-8.967039197314133,0.44007312225330647,0.44835195986570664,-0.047680474398588746,-0.05117349910056118,5.271830336189831e-05,-3.29542785946213e-05,-1.8128739584844027e-05,-2.127331470001054e-05,0.003810649419116584,0.0038817417840005344,-0.012332166108133898,-0.014763831469965292,0.0003830018922603637,0.0003910243294758739,31.128414843288862,32.187203168951086,2.3847401050874173
C,own,102,-13.326430308024703,-13.590546075765646,0.6663215154012352,0.6795273037882823,-0.06578492134229341,-0.0692860532236943,-0.00025684577504025974,-0.0004343338766221727,-3.8664398677461915e-05,-4.5338016048253565e-05,0.009224711932844784,0.00945953736738043,-0.006538791263525022,-0.0097669495123037,0.00019384519888868829,0.0001977963624841747,30.893964723482775,31.933136325163353,5.424156959635202
C,own,103,-14.419626281256093,-14.701824912688693,0.7209813140628047,0.7350912456344347,-0.060193656589139,-0.0679161173271432,-0.0014426557894204883,-0.0016294573582713578,0.0008185850869905106,0.0007910574111562401,0.007172534427910115,0.007260679654096887,0.012685689034034707,0.01266107450880061,0.00012740540899500857,0.00013006634617250545,29.909189426527817,31.137088669274917,6.295747104100462
C,own,106,-17.923890506224215,-18.022699488728236,0.8961945253112108,0.9011349744364119,-0.03328769574787194,-0.05866606803475549,-0.004668973849905389,-0.0048156086264191655,0.002530237418348351,0.0023620755849896144,0.011363434767852421,0.011327318483452205,0.20469520723367937,0.2902076102846359,1.7657844304443115e-05,2.319388002695877e-05,29.981375820557297,31.381105271066744,9.198808639281118
D,common,0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005572499304082913,-0.0013451064703938476,0.00043053099359281755,0.00030408489622926055,30.973417211486783,31.51012856822834,7.37257477290143e-18
D,common,46,-0.709928330835265,0.7308996954816216,0.03549641654176325,-0.03654498477408108,-0.03488190561061115,0.03106956460382119,0.00027149725717448905,0.0003126818173568857,5.482777100841821e-05,-0.0001351581443116782,0.00021505678603724412,0.00022086729520707577,-0.061812071179143516,-0.0757353772952524,0.0005054383274184643,0.0005151615108972066,30.98481559065517,32.129045376496485,0.017860816617941734
D,common,74,-0.2661592196341956,1.316100273805703,0.01330796098170978,-0.06580501369028516,-0.023253330490960476,0.045223439762004755,8.082827534191574e-05,0.00013796772153332887,7.559115463162398e-05,-3.964775136093313e-05,-0.00011734893605458592,-7.503538024794732e-05,-0.04909051112612198,-0.062100935588692535,0.0005131484545931042,0.0005202503655788171,30.958741895430094,32.0719235142694,0.05931147316156485
D,common,101,8.032624163343272,9.191429923675287,-0.4016312081671636,-0.45957149618376436,0.18776832435348978,0.24859588067978317,0.001890552837855386,0.0035874598012506365,4.6139191645243674e-05,-0.00017855372833959406,0.0038168315525010277,0.004814171001112014,0.6217539335436352,0.6196567243006301,0.000385840011635559,0.00034422146050504254,26.53615406674885,24.977289991276812,2.905917709778506
D,common,110,19.35898079528944,18.437904989462332,-0.9679490397644721,-0.9218952494731166,0.4622002225580122,0.47173015961884945,0.019098653380938746,0.04171730613115365,0.0012207725819779313,-0.000967744408700821,0.03392939798430833,-0.024938146871241202,2.370361712490845,0.8887170763408268,0.00013589726594277068,4.293881541506117e-05,37.72992505508466,31.128053688976067,13.965491257011996
D,own,0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005572499304083685,-0.0013451064703940627,0.00043053099359287306,0.00030408489622931606,30.973417211486982,31.51012856822851,1.1102230246251565e-16
D,own,103,-2.0855826676486355,-2.114353992765602,0.10427913338243178,0.10571769963828011,-0.026778464852536973,-0.02754218125533557,-0.00022459078216918726,-0.000223540773273731,-1.6695197309858124e-05,-1.177810234328453e-05,0.00027166148878212824,0.00027563963106246324,-0.005855155762699283,-0.006191941763557359,0.0005015096103992076,0.0005111460091459172,31.150116771038473,32.20843599797691,0.13024252077348328
D,own,110,-4.211399408600611,-4.2760300604878845,0.21056997043003056,0.21380150302439424,-0.03411339637754199,-0.03506174536923212,-0.0002387156781289701,-0.0002586127417978368,-2.664758660810308e-05,-2.2966053889493078e-05,0.0009268754022047571,0.0009349790524632885,-0.005973071808655159,-0.006860796504634492,0.00047421984440158826,0.0004836456457410765,31.135821241762738,32.188612685604284,0.5316420997312739
D,own,113,-5.79036566151158,-5.885751106971111,0.28951828307557903,0.29428755534855555,-0.036937620975173946,-0.03832243895312676,-0.00017815745829677376,-0.00022312102237284637,-2.8590880132301454e-05,-2.7336537695459674e-05,0.0017217478203445068,0.001742372398571091,-0.00780432957316049,-0.009215334726902285,0.0004455048457543548,0.00045470066180831187,31.100206971467365,32.15099058018195,1.0076989899582063
D,own,120,-11.900722691448951,-12.231926768129414,0.5950361345724476,0.6115963384064708,-0.0445205119380927,-0.049635613139746404,-0.0003964948812560376,-0.00045974184273134266,-4.27028959373518e-05,-4.180708428550852e-05,0.00753317101949067,0.007815322106379963,-0.08422985823259674,-0.09617806074931871,0.0002326919766261551,0.00023715974772748477,30.433606180525793,31.475150960241642,4.325445402441246
D,own,121,-12.90287857665192,-13.286091166857304,0.6451439288325961,0.6643045583428653,-0.040234925697674395,-0.04550964813132119,-0.0005842172685254776,-0.0006624014111418219,-4.32836793497122e-05,-3.893361912865503e-05,0.008986362425600615,0.009361365687149636,-0.0945036659482722,-0.10960170536192826,0.0001697507768680176,0.00017168061518383487,30.181063912108232,31.20843447138193,5.080530173619039
D,own,124,-15.933369585552729,-16.45629740675587,0.7966684792776365,0.8228148703377935,-0.014466548441828486,-0.039465053623102486,-0.004947718243634269,-0.004306956158828035,0.002276425425639554,0.002247097030259349,0.007196310702193561,0.007461447540204208,-0.17980090347925842,-0.17278025389330606,7.454305717966014e-05,7.375823006301047e-05,28.972332892957454,30.353121724617196,7.603509402041497
