tick,time_s,profile,status,solver_status,hard,wbc_time_s,contact_left,contact_right,planner_xi,planner_dxi,planner_ddxi,xi_common,dxi_common,xi_differential,dxi_differential,common_error,differential_error,max_normalized_slack,max_wrench_residual,max_torque,tau0,tau1,tau2,tau3,tau4,tau5
21,0.22000000000000017,ramp,0,0,3.3555547229724425e-10,0.00026825500000000001,1,1,-0.011157172669780779,0,0,-0.011080777838630375,0.0013289588089869463,-0.0015730386329870297,0.00016747433835732342,-7.6394831150404172e-05,-1.0484541143628012e-05,2.2551203274626127e-05,0.0011275601610668783,3.2443074696567811,-0.043628496399771829,-3.1428601125177713,1.3195051157528822e-07,0.034776134274145928,-3.2443074696567811,1.4605398062310335e-07
22,0.23000000000000018,ramp,0,0,3.9777536819940451e-10,0.000258958,1,1,-0.011157172669780779,0,0,-0.011066258017514895,0.0015767675103195468,-0.0015712260100573128,0.00019460329741177729,-9.0914652265884632e-05,-1.2297164073344843e-05,2.3599849610606561e-05,0.001179992477463033,3.2450582115534559,-0.043750014485208696,-3.1428694342357915,1.1147221466656158e-07,0.033813499003575748,-3.2450582115534559,1.2601610553083393e-07
23,0.24000000000000019,ramp,0,0,4.7100634503749461e-10,0.000255512,1,1,-0.011157172669780779,0,0,-0.011049030153265856,0.0018708182213987732,-0.0015691152175658016,0.00022693576365942578,-0.00010814251651492315,-1.4407956564856106e-05,2.4644674285948376e-05,0.0012322337107410969,3.2459351542027215,-0.043898564565464433,-3.1428904248489467,8.6480060309835795e-08,0.032675835679762899,-3.2459351542027215,1.0154236465137213e-07
24,0.25000000000000017,ramp,0,0,5.5687410238647317e-10,0.00024896400000000001,1,1,-0.011157172669780779,0,0,-0.011028592551130284,0.0022190413978851586,-0.0015666489020391963,0.00026549761300200155,-0.00012858011865049535,-1.6874272091461397e-05,2.5711853867091228e-05,0.0012855926892057928,3.2469620877730891,-0.044077366726061044,-3.1429222107191093,5.6081492792681261e-08,0.031330377538105636,-3.2469620877730891,7.1755754986996954e-08
25,0.26000000000000018,ramp,0,0,6.5710648033956431e-10,0.00025761600000000001,1,1,-0.011157172669780779,0,0,-0.011004359033633882,0.0026304287431742901,-0.0015637585075083662,0.00031149762042318244,-0.00015281363614689722,-1.9764666622291462e-05,2.6836019611630122e-05,0.0013418009757165457,3.2481666547839438,-0.044289465367814113,-3.1429628325738497,1.9192784647953013e-08,0.029738756587551419,-3.2481666547839438,3.5591127757621574e-08
26,0.27000000000000018,ramp,0,0,7.7346340443540385e-10,0.00025501499999999998,1,1,-0.011157172669780779,0,0,-0.010975648340759928,0.0031150392990394963,-0.0015603622693894812,0.00036636137202716683,-0.00018152432902085111,-2.3160904741176443e-05,2.8062071762349813e-05,0.0014031035823883322,3.2495807322429711,-0.044537346734888406,-3.1430086948749398,-2.5505237603206144e-08,0.027856241987067789,-3.2495807322429711,-8.2484928142792603e-09
27,0.28000000000000019,ramp,0,0,9.0762231064189791e-10,0.00027527900000000002,1,1,-0.011157172669780779,0,0,-0.010941673904070713,0.0036839221754254997,-0.0015563628289776317,0.00043177278642024183,-0.00021549876571006626,-2.7160345153025983e-05,2.9447535700786571e-05,0.0014723767782689019,3.2512407590442978,-0.044822315041696759,-3.1430537470504252,-7.9621601231933309e-08,0.025630951158002645,-3.2512407590442978,-6.1345590613459159e-08
28,0.2900000000000002,ramp,0,0,7.3699666369719807e-09,0.00026763200000000002,1,1,-0.011157172669780779,0,0,-0.010942713227795015,-0.0050033654288541441,-0.0015227125212028498,0.0053137802799065308,-0.00021445944198576414,-6.0810652927807858e-05,0.00012843223138137637,0.0064216117780990165,3.2671048134610525,-0.00045288680531491886,-3.1173336776761302,2.4731924961300572e-08,-0.00024983727396394413,-3.2671048134610525,7.6569893017041323e-08
29,0.30000000000000021,ramp,0,0,1.1597780957828263e-08,0.00026189200000000001,1,1,-0.011157172669780779,0,0,-0.011064540393230141,-0.016849345666895294,-0.0014831649008501284,0.0031248805098545093,-9.263227655063877e-05,-0.00010035827328052933,7.773175438631682e-05,0.003886587657823772,3.2533028232821177,0.005210598285441877,-3.1139362321678288,2.8970380748170884e-08,0.023895209535532105,-3.2533028232821177,7.152156438935319e-08
30,0.31000000000000022,ramp,0,0,5.0218261771206585e-09,0.000271821,1,1,-0.011157172669780779,0,0,-0.011251104516684488,-0.019857887685016125,-0.0014585124440233089,0.0020844123500059365,9.3931846903708843e-05,-0.00012501073010734876,5.7539086674450636e-05,0.0028769543074467336,3.2467395453732326,0.0082169453778843573,-3.1116544825258603,-3.4759100746601604e-07,0.034432717990741976,-3.2467395453732326,-3.0882733659840031e-07
