side,hip_rad,knee_rad,wheel_rad,connect1_rad,connect2_rad,solver_iterations,closure_residual_m,passive_min_singular_value,passive_condition_number,fk_position_error_m,fk_rotation_matrix_error,full_jacobian_error,constraint_tangent_residual,reduced_jacobian_error,finite_difference_linear_error,finite_difference_angular_error,velocity_error,virtual_work_error_nm,power_error_w
left,-0.325,0.0,1.0,0.0,0.0,0,2.7755575615628914e-17,0.03066181307664958,7.693661399523477,5.551115123125783e-17,1.2826952875745611e-16,2.718345674301793e-16,1.6986803938502734e-17,2.718345674301793e-16,5.600769847902143e-12,9.364325933947614e-12,4.2652359840210616e-17,0.0,6.938893903907228e-18
left,-0.325,0.25,-1.0,0.25,-0.2500000000000003,0,5.551115123125783e-17,0.034213406074165835,7.119434936658307,5.551115123125783e-17,2.3714009791064315e-16,2.718345674301793e-16,3.397360787700547e-17,2.718345674301793e-16,6.298239707547282e-12,8.165915478649249e-12,2.3778568421582957e-17,1.1102230246251565e-16,0.0
left,-0.325,0.25,0.0,0.25,-0.2500000000000003,0,5.551115123125783e-17,0.034213406074165835,7.119434936658307,1.1102230246251565e-16,1.6098440021269894e-16,2.718345674301793e-16,3.397360787700547e-17,2.718345674301793e-16,5.896449994935438e-12,5.2405857431381264e-12,2.3778568421582957e-17,5.551115123125783e-17,6.938893903907228e-18
left,-0.325,0.25,1.0,0.25,-0.2500000000000003,0,5.551115123125783e-17,0.034213406074165835,7.119434936658307,5.551115123125783e-17,1.2968171333492817e-16,2.718345674301793e-16,3.3973607877005456e-17,2.718345674301793e-16,5.070360797887474e-12,1.2200979741786364e-11,2.3778568421582957e-17,5.551115123125783e-17,3.469446951953614e-18
left,-0.325,0.5,-1.0,0.5000000000000004,-0.5000000000000007,0,1.6653345369377348e-16,0.03535830367728064,7.131676392280105,1.3877787807814457e-16,3.8285686989269494e-16,6.049014748177263e-16,3.776786425951053e-17,6.049014748177263e-16,6.548706021902717e-12,1.5045116396234135e-11,9.927373409609361e-17,1.1102230246251565e-16,1.3877787807814457e-17
left,-0.325,0.5,0.0,0.5000000000000004,-0.5000000000000007,0,1.6653345369377348e-16,0.03535830367728064,7.131676392280105,1.6653345369377348e-16,3.3306690738754696e-16,6.049014748177263e-16,3.708262400769373e-17,6.049014748177263e-16,6.378453321076449e-12,9.347411733529043e-12,9.927373409609361e-17,0.0,0.0
left,-0.325,0.5,1.0,0.5000000000000004,-0.5000000000000007,0,1.6653345369377348e-16,0.03535830367728064,7.131676392280105,1.1102230246251565e-16,3.3306690738754696e-16,6.049014748177263e-16,3.776786425951053e-17,6.049014748177263e-16,6.227345028531062e-12,1.1208195667827173e-11,9.927373409609361e-17,5.551115123125783e-17,0.0
left,-0.325,0.75,-1.0,0.75,-0.7500000000000003,0,5.551115123125783e-17,0.03426097037661508,7.619704320374022,1.1102230246251565e-16,4.440892098500626e-16,3.8285686989269494e-16,2.365771596232971e-17,3.8285686989269494e-16,8.371747739488455e-12,1.584573189090204e-11,6.152615125883829e-17,5.551115123125783e-17,1.3877787807814457e-17
left,-0.325,0.75,0.0,0.75,-0.7500000000000003,0,5.551115123125783e-17,0.03426097037661508,7.619704320374022,8.326672684688674e-17,3.3306690738754696e-16,3.8285686989269494e-16,2.365771596232971e-17,3.8285686989269494e-16,7.295164472509441e-12,8.980557308247166e-12,6.152615125883829e-17,0.0,1.3877787807814457e-17
left,-0.325,0.75,1.0,0.75,-0.7500000000000003,0,5.551115123125783e-17,0.03426097037661508,7.619704320374022,1.1102230246251565e-16,2.220446049250313e-16,3.8285686989269494e-16,2.365771596232971e-17,3.8285686989269494e-16,7.274292279646488e-12,1.1043359435100043e-11,6.152615125883829e-17,0.0,6.938893903907228e-18
left,0.0,-0.75,-1.0,-0.7499999999999942,0.7499999999999958,0,5.551115123125783e-17,0.0073709262699269,30.19930757147592,1.1102230246251565e-16,2.7975403927919696e-16,2.718345674301793e-16,9.547918011775627e-17,2.718345674301793e-16,2.810897348215491e-12,1.1050736592998114e-11,5.2644367061837034e-17,5.551115123125783e-17,1.3877787807814457e-17
left,0.0,-0.75,0.0,-0.7499999999999942,0.7499999999999958,0,5.551115123125783e-17,0.0073709262699269,30.19930757147592,1.1102230246251565e-16,2.220446049250313e-16,2.718345674301793e-16,9.547918011775627e-17,2.718345674301793e-16,3.6326913699369356e-12,8.409530001605291e-12,5.2644367061837034e-17,0.0,0.0
left,0.0,-0.75,1.0,-0.7499999999999942,0.7499999999999958,0,5.551115123125783e-17,0.0073709262699269,30.19930757147592,2.220446049250313e-16,2.718345674301793e-16,2.718345674301793e-16,7.510658761588868e-17,2.718345674301793e-16,5.127440139141015e-12,1.1273048727580356e-11,5.2644367061837034e-17,0.0,0.0
left,0.0,-0.5,-1.0,-0.49999999999988776,0.4999999999999286,0,2.831068712794149e-15,0.01678719280302004,13.410883298359158,1.1102230246251565e-16,2.7736399850985536e-16,1.6081226496766364e-16,4.668487818671812e-17,1.6081226496766364e-16,6.16839912481737e-12,1.1932010934856407e-11,3.377057564320937e-17,5.551115123125783e-17,0.0
left,0.0,-0.5,0.0,-0.49999999999988776,0.4999999999999286,0,2.831068712794149e-15,0.01678719280302004,13.410883298359158,1.1102230246251565e-16,2.238193223859602e-16,1.6081226496766364e-16,4.668487818671812e-17,1.6081226496766364e-16,6.835337851285317e-12,7.313705197020681e-12,3.377057564320937e-17,0.0,0.0
left,0.0,-0.5,1.0,-0.49999999999988776,0.4999999999999286,0,2.831068712794149e-15,0.01678719280302004,13.410883298359158,1.1102230246251565e-16,2.718345674301793e-16,1.6081226496766364e-16,7.544742608415159e-17,1.6081226496766364e-16,6.16839912481737e-12,1.1194156712690528e-11,3.377057564320937e-17,2.7755575615628914e-17,3.469446951953614e-18
left,0.0,-0.25,-1.0,-0.24999999999999836,0.24999999999999822,0,1.1102230246251565e-16,0.02474780558092822,9.278923899570485,6.245004513516506e-17,2.220446049250313e-16,3.8285686989269494e-16,3.4416913763379834e-17,3.8285686989269494e-16,4.251654583953268e-12,1.4311440921233043e-11,7.151815848046469e-17,0.0,0.0
left,0.0,-0.25,0.0,-0.24999999999999836,0.24999999999999822,0,1.1102230246251565e-16,0.02474780558092822,9.278923899570485,6.245004513516506e-17,2.718345674301793e-16,3.8285686989269494e-16,3.863576125695543e-17,3.8285686989269494e-16,3.049026309209779e-12,1.4020784533386177e-11,7.151815848046469e-17,5.551115123125783e-17,1.3877787807814457e-17
