tick,time_s,profile,status,solver_status,hard,wbc_time_s,contact_left,contact_right,planner_xi,planner_dxi,planner_ddxi,xi_common,dxi_common,xi_differential,dxi_differential,common_error,differential_error,max_normalized_slack,max_wrench_residual,max_torque,tau0,tau1,tau2,tau3,tau4,tau5
21,0.22000000000000017,ramp,0,0,2.5478508192122717e-10,0.00025918600000000001,1,1,-0.011157172669780779,0,0,-0.011005156306557726,0.0026659524848511459,-0.0015640476470593434,0.00034569125538831983,-0.00015201636322305367,-1.9475527071314246e-05,2.517632184073324e-05,0.0012588160897386682,3.2441120566710242,-0.04347155753272449,-3.1429492430372301,3.7041816737940874e-07,0.035505580818147607,-3.2441120566710242,3.840873256827467e-07
22,0.23000000000000018,ramp,0,0,3.019489103195383e-10,0.00025786599999999999,1,1,-0.011157172669780779,0,0,-0.010975786404452334,0.0031605705322172912,-0.0015602646317783636,0.00040467733744029401,-0.00018138626532844537,-2.3258542352294111e-05,2.6604862056758244e-05,0.0013302431002012696,3.2448487245724698,-0.0435305726259827,-3.1429563007307184,3.9636026234113938e-07,0.03464530906880782,-3.2448487245724698,4.1041727773961065e-07
23,0.24000000000000019,ramp,0,0,3.5750036264659002e-10,0.00025367800000000002,1,1,-0.011157172669780779,0,0,-0.010940957737392077,0.0037485825613943168,-0.0015558324050887144,0.00047437211857319708,-0.000216214932388702,-2.7690769041943328e-05,2.8101097894792042e-05,0.0014050548916930876,3.2457093924631648,-0.04360513472567433,-3.1429746561985246,4.2630052829393844e-07,0.033628419277410136,-3.2457093924631648,4.4081410806811613e-07
24,0.25000000000000017,ramp,0,0,4.2265635435967397e-10,0.00025140200000000002,1,1,-0.011157172669780779,0,0,-0.010899644587749363,0.0044466787016576676,-0.0015506324071361552,0.00055683573336144394,-0.00025752808203141631,-3.2890766994502461e-05,2.9707587030378431e-05,0.0014853793479776662,3.2467174596987922,-0.043697302044592781,-3.1430039991932448,4.6093327101382918e-07,0.032425647191686911,-3.2467174596987922,4.759854939966021e-07
25,0.26000000000000018,ramp,0,0,4.9869852691841743e-10,0.00025496699999999999,1,1,-0.011157172669780779,0,0,-0.010850640888643192,0.0052739885715342846,-0.001544523512625344,0.00065447931144298459,-0.00030653178113758742,-3.8999661505313699e-05,3.1479242061981104e-05,0.0015739620989624068,3.2479001531152023,-0.043809037030476873,-3.1430432182288874,5.0104029712922579e-07,0.031002709575801948,-3.2479001531152023,5.1672912565978525e-07
26,0.27000000000000018,ramp,0,0,5.8691662641052744e-10,0.00026270500000000001,1,1,-0.011157172669780779,0,0,-0.010792535013784667,0.0062522242945810842,-0.0015373382407978227,0.00077011406881169996,-0.00036463765599611259,-4.6184933332834958e-05,3.3486269368348012e-05,0.0016743134635664849,3.2492889032665162,-0.043941988358802891,-3.1430899846866582,5.474843279829658e-07,0.029319641394542528,-3.2492889032665162,5.6392655918512657e-07
27,0.28000000000000019,ramp,0,0,6.8851513379541984e-10,0.00026267400000000001,1,1,-0.011157172669780779,0,0,-0.010723683746369393,0.0074057104976470497,-0.0015288784481543392,0.00090700466444721024,-0.00043348892341138652,-5.4644725976318517e-05,3.5818044479815957e-05,0.0017909022182857265,3.2509196592285257,-0.044097133724011923,-3.1431401315135648,6.0119298783179094e-07,0.027330126447534568,-3.2509196592285257,6.1852770991877708e-07
28,0.2900000000000002,ramp,0,0,4.0340766283009089e-09,0.00025875600000000001,1,1,-0.011157172669780779,0,0,-0.010690829770619102,-0.0024510615229705931,-0.0014965091216610485,0.0042454130049755425,-0.0004663428991616772,-8.7014052469609228e-05,1.3149575208923651e-05,0.00065747883034803509,3.2557021261637678,-0.026918284133653578,-3.1331097816822111,7.1515610592118619e-07,0.020170954114824002,-3.2557021261637678,7.4394216885804041e-07
29,0.30000000000000021,ramp,0,0,6.0186798878092418e-09,0.00026441600000000001,1,1,-0.011157172669780779,0,0,-0.010796944328978991,-0.015944486000450148,-0.0014575691545348803,0.0037110933589892103,-0.00036022834080178846,-0.00012595401959577743,7.0246067620949975e-06,0.00035123033389293615,3.2511624059553257,-0.01900554122143416,-3.1281533427003074,5.6160058364333862e-07,0.027993014428490552,-3.2511624059553257,5.9006981150577231e-07
30,0.31000000000000022,ramp,0,0,4.3842524055648369e-09,0.00026036100000000002,1,1,-0.011157172669780779,0,0,-0.011008546398187831,-0.02464681602691297,-0.0014217710238594297,0.0035414206235005637,-0.00014862627159294844,-0.000161752150271228,8.4594046563349463e-06,0.00042297023422638069,3.2477049882631097,-0.011984815538182198,-3.1234213417874206,8.9034854617012167e-08,0.033040067543299918,-3.2477049882631097,1.1815112652338056e-07
