tick,time_s,profile,status,solver_status,hard,wbc_time_s,contact_left,contact_right,planner_xi,planner_dxi,planner_ddxi,xi_common,dxi_common,xi_differential,dxi_differential,common_error,differential_error,max_normalized_slack,max_wrench_residual,max_torque,tau0,tau1,tau2,tau3,tau4,tau5
35,0.36000000000000026,step,0,0,2.7243057809656079e-09,0.00025633299999999997,1,1,-0.011157172669780779,0,0,-0.011342475490794264,0.014786615349182613,-0.0015719113307098636,-0.00072842450854797205,0.00018530282101348466,-1.1611843420794056e-05,6.2922677973185708e-05,0.0031461338752432092,3.24490705328583,-0.054518917909281671,-3.1475221706731098,-1.4231146750829154e-06,0.033415476656255889,-3.24490705328583,-1.412738422089908e-06
36,0.37000000000000027,step,0,0,1.4366055012260404e-09,0.00025786100000000002,1,1,-0.011157172669780779,0,0,-0.011189890237422222,0.015560395686738311,-0.0015755638399620022,-0.00013484165522483806,3.2717567641442347e-05,-7.9593341686555116e-06,4.977646039483252e-05,0.0024888230047219297,3.2481162127876217,-0.054259550194877403,-3.1478805207705198,-1.0997773891731213e-06,0.028739273170080716,-3.2481162127876217,-1.0870178937678137e-06
37,0.38000000000000028,step,0,0,7.1692585201788006e-10,0.000251666,1,1,-0.011157172669780779,0,0,-0.011036990767792576,0.015129778849839678,-0.0015746571090047984,0.00023782322326388466,-0.00012018190198820333,-8.8660651258593015e-06,4.1187279354740495e-05,0.0020593639572418542,3.2504719768844592,-0.053764835513142845,-3.1480769414651406,-7.7670066107124826e-07,0.025611439383475716,-3.2504719768844592,-7.6221450594657814e-07
38,0.39000000000000029,step,0,0,3.1354006058137429e-09,0.00026811599999999999,1,1,-0.011157172669780779,0,0,-0.010914242512339523,0.0085253252498723106,-0.0015511259604420622,0.0054030006108128558,-0.00024293015744125679,-3.2397213688595446e-05,7.3543332856116703e-05,0.0036771667889617548,3.2634994908804464,-0.025453937771974595,-3.1320990504861572,-4.4142666156579881e-07,0.0044917258935834809,-3.2634994908804464,-4.033906280473463e-07
39,0.4000000000000003,step,0,0,9.190985528206852e-09,0.00026228100000000001,1,1,-0.011157172669780779,0,0,-0.010915085990675463,-0.0070342986855684653,-0.0014891451726628882,0.005687607690084054,-0.00024208667910531612,-9.4378001467769479e-05,9.5080519251878153e-05,0.0047540259875556417,3.2605274185991355,-0.0082616206109335389,-3.1223399496074302,-1.9458990303165803e-07,0.010428939038531895,-3.2605274185991355,-1.5187496726178568e-07
40,0.41000000000000031,step,0,0,4.6403612063983246e-09,0.00026170300000000001,1,1,-0.011157172669780779,0,0,-0.011037259875755868,-0.013564382049923648,-0.0014510598720482168,0.00079325248672381179,-0.00011991279402491159,-0.00013246330208244086,3.189346709095124e-06,0.00015946654769565118,3.2453419641998655,-0.021316066440381892,-3.1296662772155037,-3.8806205356553682e-07,0.035786055780514345,-3.2453419641998655,-3.6421132949450171e-07
41,0.42000000000000032,step,0,0,2.7716698595483722e-09,0.00026090899999999998,1,1,-0.011157172669780779,0,0,-0.011155874921220998,-0.010842521742549648,-0.0014957572730824016,-0.0079914159519473491,-1.2977485597809313e-06,-8.7765901048256038e-05,0.0001908992019485214,0.0095449603522193855,3.220134927525427,-0.064470565764129906,-3.1546165069958336,-7.349331649915217e-07,0.077424517505194801,-3.220134927525427,-7.5125852180202448e-07
42,0.43000000000000033,step,0,0,7.303346927223231e-09,0.00025628400000000001,1,1,-0.011157172669780779,0,0,-0.011187533719913996,0.001821578760828091,-0.0015547950543264629,-0.0046179190875438609,3.0361050133216605e-05,-2.8728119804194777e-05,0.00012859511427692653,0.0064297556380183505,3.2310094940627039,-0.062690433423605724,-3.1535422957772448,-1.1418925433698925e-06,0.05751347130826534,-3.2310094940627039,-1.1470337274526716e-06
43,0.44000000000000034,step,0,0,4.4380714658842635e-09,0.00025141999999999997,1,1,-0.011157172669780779,0,0,-0.011127724986160489,0.0086872495567178864,-0.0015884569996319148,-0.0025939946171862067,-2.9447683620290738e-05,4.9338255012571289e-06,9.0419715085828228e-05,0.0045209857087209126,3.2382201175527769,-0.061770203537761172,-3.1532878733536056,-1.2065112388774286e-06,0.045118168383262124,-3.2382201175527769,-1.2048355770824518e-06
44,0.45000000000000034,step,0,0,1.5036872857976391e-09,0.000252148,1,1,-0.011157172669780779,0,0,-0.011024425142131929,0.010139377671035763,-0.0016035958557878175,0.00026728151761892457,-0.00013274752764885073,2.0072681657159856e-05,3.1385918764602929e-05,0.0015692958657677809,3.246703412569194,-0.052238285436364204,-3.1482015456650969,-1.07349513503166e-06,0.031222516066089081,-3.246703412569194,-1.0603305163882962e-06
45,0.46000000000000035,step,0,0,3.9847365407297275e-09,0.00025560399999999999,1,1,-0.011157172669780779,0,0,-0.010966922169276947,0.0028416738973163162,-0.0015500708902167213,0.008753890878736589,-0.00019025050050383227,-3.3452283913936419e-05,0.00016404113623200115,0.0082020570575158137,3.2688012685251566,-0.0058098975714255298,-3.1215682215102931,-9.0288969342309259e-07,-0.0055848819881329165,-3.2688012685251566,-8.5026772168286043e-07
46,0.47000000000000036,step,0,0,2.3638437873785278e-09,0.000252475,1,1,-0.011157172669780779,0,0,-0.010963812946210738,-0.0012294932681202846,-0.0014682410905297299,0.0044564542195116852,-0.00019335972357004128,-0.0001152820836009278,9.3747184632512846e-05,0.0046873591383922303,3.2595818178574314,-0.016139918594106087,-3.1274915105462786,-8.8184609650044707e-07,0.010709537471675117,-3.2595818178574314,-8.4300561672789158e-07
47,0.48000000000000037,step,0,0,2.9131073705147753e-09,0.00025853200000000001,1,1,-0.011157172669780779,0,0,-0.010989199755112294,-0.003442666201188823,-0.0014816620900751989,-0.0051654197767694934,-0.00016797291466848566,-0.00010186108405545874,0.00011297027864552257,0.0056485142002060985,3.2326293711531644,-0.058099042056232564,-3.152001873192432,-9.3562433114555546e-07,0.056486596807930278,-3.2326293711531644,-9.3873910641009035e-07
48,0.49000000000000038,step,0,0,1.5646126616530864e-09,0.00025425900000000001,1,1,-0.011157172669780779,0,0,-0.011018709800161428,-0.0004893372866811331,-0.0015618180182323084,-0.0081098508493129308,-0.00013846286961935114,-2.1705155898349253e-05,0.0001924329850277907,0.0096216493563890827,3.2221439688628712,-0.078826723327763332,-3.1642408357976288,-1.1530017085834827e-06,0.07345885795468432,-3.2221439688628712,-1.1732084037107504e-06
49,0.50000000000000033,step,0,0,3.3691367118425703e-09,0.00025828500000000002,1,1,-0.011157172669780779,0,0,-0.011032535192253744,-0.0020233551629269949,-0.001573436792562939,0.0033770984375343293,-0.00012463747752703563,-1.008638156771869e-05,5.3567451191263452e-05,0.0026783728695074097,3.2507124518930404,-0.027210698702637176,-3.1345259252710895,-1.2957393188441755e-06,0.02443289791478688,-3.2507124518930404,-1.2672877172556067e-06
50,0.51000000000000034,step,0,0,5.8079731024562875e-09,0.00025065200000000003,1,1,-0.01110717266978078,0.0050000000000000001,0.5,-0.011018208700513085,0.00504020390345041,-0.0015280579539052961,0.0041809684192464138,-8.8963969267694815e-05,-5.5465220225361586e-05,8.3721421777402643e-05,0.0041860711225706624,3.2511041511758556,-0.013242215693359042,-3.1268036918958004,-1.1623167514848526e-06,0.024797686614593348,-3.2511041511758556,-1.1278446111681792e-06
