wrench_map_0,5,5,1
wrench_map_0,6,0,0.32811386156910949
wrench_map_0,6,1,2.0729260466162195e-18
wrench_map_0,6,2,-0.0093356289711074014
wrench_map_0,6,3,0
wrench_map_0,6,4,-1
wrench_map_0,6,5,-2.2204460492503131e-16
wrench_map_0,7,0,0.22665403650522561
wrench_map_0,7,1,-3.0942174450397335e-17
wrench_map_0,7,2,0.13935116532484232
wrench_map_0,7,3,0
wrench_map_0,7,4,-1
wrench_map_0,7,5,-2.2204460492503131e-16
wrench_map_0,8,0,0.049965666543022057
wrench_map_0,8,1,-2.579548231523011e-20
wrench_map_0,8,2,0.00011617252454271254
wrench_map_0,8,3,0
wrench_map_0,8,4,-1
wrench_map_0,8,5,-2.2204460492503131e-16
wrench_map_0,9,0,0
wrench_map_0,9,1,0
wrench_map_0,9,2,0
wrench_map_0,9,3,0
wrench_map_0,9,4,0
wrench_map_0,9,5,0
wrench_map_0,10,0,0
wrench_map_0,10,1,0
wrench_map_0,10,2,0
wrench_map_0,10,3,0
wrench_map_0,10,4,0
wrench_map_0,10,5,0
wrench_map_0,11,0,0
wrench_map_0,11,1,0
wrench_map_0,11,2,0
wrench_map_0,11,3,0
wrench_map_0,11,4,0
wrench_map_0,11,5,0
contact_jacobian_0,0,0,1
contact_jacobian_0,0,1,0
contact_jacobian_0,0,2,0
contact_jacobian_0,0,3,0
contact_jacobian_0,0,4,-0.31583618156910948
contact_jacobian_0,0,5,-0.2197991905914769
contact_jacobian_0,0,6,0.32811386156910949
contact_jacobian_0,0,7,0.22665403650522561
contact_jacobian_0,0,8,0.049965666543022057
contact_jacobian_0,0,9,0
contact_jacobian_0,0,10,0
contact_jacobian_0,0,11,0
contact_jacobian_0,1,0,0
contact_jacobian_0,1,1,1
contact_jacobian_0,1,2,0
contact_jacobian_0,1,3,0.31583618156910948
contact_jacobian_0,1,4,0
contact_jacobian_0,1,5,-0.0094574769711073814
contact_jacobian_0,1,6,2.0729260466162195e-18
contact_jacobian_0,1,7,-3.0942174450397335e-17
contact_jacobian_0,1,8,-2.579548231523011e-20
contact_jacobian_0,1,9,0
contact_jacobian_0,1,10,0
contact_jacobian_0,1,11,0
contact_jacobian_0,2,0,0
contact_jacobian_0,2,1,0
contact_jacobian_0,2,2,1
contact_jacobian_0,2,3,0.2197991905914769
contact_jacobian_0,2,4,0.0094574769711073814
contact_jacobian_0,2,5,0
contact_jacobian_0,2,6,-0.0093356289711074014
contact_jacobian_0,2,7,0.13935116532484232
contact_jacobian_0,2,8,0.00011617252454271254
contact_jacobian_0,2,9,0
contact_jacobian_0,2,10,0
contact_jacobian_0,2,11,0
contact_bias_0,0,0,0
contact_bias_0,1,0,0
contact_bias_0,2,0,0
contact_axis_0,0,0,0
contact_axis_0,1,0,1
contact_axis_0,2,0,2.2204460492503131e-16
point_force_wrench_projector_0,0,0,0.99999996726359885
point_force_wrench_projector_0,0,1,-2.3899410209065512e-20
point_force_wrench_projector_0,0,2,-2.1019330886939969e-08
point_force_wrench_projector_0,0,3,-5.3243999014104379e-23
point_force_wrench_projector_0,0,4,0.00018093203145357875
point_force_wrench_projector_0,0,5,4.0181228244056256e-20
point_force_wrench_projector_0,1,0,-2.3899410209065512e-20
point_force_wrench_projector_0,1,1,0.99999999999999956
point_force_wrench_projector_0,1,2,-2.6454083428494575e-20
point_force_wrench_projector_0,1,3,8.1315162936412833e-20
point_force_wrench_projector_0,1,4,2.5212395707858126e-16
point_force_wrench_projector_0,1,5,1.6263032587282567e-19
point_force_wrench_projector_0,2,0,-2.1019330886939969e-08
point_force_wrench_projector_0,2,1,-2.6454083428494575e-20
point_force_wrench_projector_0,2,2,0.99999998650394506
point_force_wrench_projector_0,2,3,2.1288833941020153e-16
point_force_wrench_projector_0,2,4,0.00011617251917177144
point_force_wrench_projector_0,2,5,2.5791728015458139e-20
point_force_wrench_projector_0,3,0,-5.3243999014104379e-23
point_force_wrench_projector_0,3,1,8.1315162936412833e-20
point_force_wrench_projector_0,3,2,2.1288833941020153e-16
point_force_wrench_projector_0,3,3,1
point_force_wrench_projector_0,3,4,1.4288264850440845e-19
point_force_wrench_projector_0,3,5,-5.5511151231257827e-17
point_force_wrench_projector_0,4,0,0.00018093203145357875
point_force_wrench_projector_0,4,1,2.5212395707858126e-16
point_force_wrench_projector_0,4,2,0.00011617251917177144
point_force_wrench_projector_0,4,3,1.4288264850440845e-19
point_force_wrench_projector_0,4,4,4.6232456354074423e-08
point_force_wrench_projector_0,4,5,-2.2209826599785226e-16
point_force_wrench_projector_0,5,0,4.0181228244056256e-20
point_force_wrench_projector_0,5,1,1.6263032587282567e-19
point_force_wrench_projector_0,5,2,2.5791728015458139e-20
point_force_wrench_projector_0,5,3,-5.5511151231257827e-17
point_force_wrench_projector_0,5,4,-2.2209826599785226e-16
point_force_wrench_projector_0,5,5,1.0000000000000013
interaction_acceleration_map_0,0,0,-0.34310000000000002
